fwd_cmd_m,y_off_cmd_m,gt_x,gt_y,gt_z,gt_range_m,bearing_deg,decoded,dec_range_m,decision_margin,iou,u_px,gt_cx,gt_cy,gt_w,gt_h,tag_cx,tag_cy,tag_w,tag_h,frame
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0000_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0001_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0002_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0003_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0004_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0005_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0006_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0007_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0008_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0009_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0010_r001.9.png
2.0,+0.0,0.0300,-0.2710,1.8800,1.8997,8.25,1,1.9111,120.000,0.9881,648.7,648.62,402.17,99.48,99.48,648.67,401.98,98.88,98.88,fwd002.0_y+0.0_0011_r001.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0012_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0013_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0014_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0015_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0016_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0017_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0018_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0019_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0020_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0021_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0022_r003.9.png
4.0,+0.0,0.0300,-0.2710,3.8800,3.8896,4.02,1,3.9510,120.000,0.9691,644.4,644.17,442.29,48.59,48.59,644.43,442.38,47.83,47.83,fwd004.0_y+0.0_0023_r003.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0024_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0025_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0026_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0027_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0028_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0029_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0030_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0031_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0032_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0033_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0034_r005.9.png
6.0,+0.0,0.0300,-0.2710,5.8800,5.8863,2.65,1,6.0086,119.566,0.9597,642.9,642.75,455.12,32.10,32.10,642.89,455.05,31.45,31.45,fwd006.0_y+0.0_0035_r005.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0036_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0037_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0038_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0039_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0040_r007.9.png
