dataset,frame,gt_range,gcx,gcy,gw,gh,n_boxes,old_hit,new_hit
frametop_centered,centered_000001_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000002_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000003_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000004_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000005_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000006_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000007_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000008_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000009_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000010_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000011_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000012_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000013_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000014_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000015_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000016_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000017_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000018_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000019_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000020_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000021_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000022_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000023_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000024_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000024_r008.0_pos,8.0,640.0,480.0,23.6,23.6,4,1,1
frametop_centered,centered_000025_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000025_r008.0_pos,8.0,640.0,480.0,23.6,23.6,4,1,1
frametop_centered,centered_000026_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000026_r008.0_pos,8.0,640.0,480.0,23.6,23.6,4,1,1
frametop_centered,centered_000027_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
frametop_centered,centered_000027_r008.0_pos,8.0,640.0,480.0,23.6,23.6,4,1,1
frametop_centered,centered_000028_r004.9_pos,4.9,643.3,450.0,38.7,38.7,11,1,1
