background,attitude_axis,frame,gt_range,gcx,gcy,gbearing_deg,n_boxes,any_hit,top1_hit,target_hit_rank,top1_is_phantom
sky,off,sky_banked_000001_r020.0_pos,20.0,484.1,478.5,-16.1,18,1,1,8,0
sky,off,sky_banked_000002_r020.0_pos,20.0,484.1,478.2,-16.1,9,1,1,4,0
sky,off,sky_banked_000003_r020.0_pos,20.0,484.1,477.8,-16.1,10,1,0,4,1
sky,off,sky_banked_000004_r020.0_pos,20.0,484.0,477.7,-16.1,5,1,0,2,1
sky,off,sky_banked_000005_r020.0_pos,20.0,483.9,477.8,-16.1,4,1,1,1,0
sky,off,sky_banked_000006_r020.0_pos,20.0,483.8,478.1,-16.1,4,1,1,1,0
sky,off,sky_banked_000007_r020.0_pos,20.0,483.8,478.6,-16.1,4,1,1,1,0
sky,off,sky_banked_000008_r020.0_pos,20.0,483.8,478.9,-16.1,14,1,1,6,0
sky,off,sky_banked_000009_r020.0_pos,20.0,483.8,479.0,-16.1,17,1,1,8,0
sky,off,sky_banked_000010_r020.0_pos,20.0,483.8,479.1,-16.1,12,1,0,3,1
sky,off,sky_banked_000011_r020.0_pos,20.0,483.9,479.0,-16.1,6,1,1,1,0
sky,off,sky_banked_000012_r020.0_pos,20.0,483.9,478.9,-16.1,4,1,1,1,0
sky,off,sky_banked_000013_r020.0_pos,20.0,483.9,478.8,-16.1,4,1,1,1,0
sky,on,sky_banked_000014_r006.0_pos,6.0,640.1,335.4,+0.0,10,1,1,1,0
sky,on,sky_banked_000015_r006.0_pos,6.0,640.1,335.5,+0.0,19,1,1,1,0
sky,on,sky_banked_000016_r006.0_pos,6.0,640.2,335.4,+0.0,17,1,1,1,0
sky,on,sky_banked_000017_r006.0_pos,6.0,640.2,335.2,+0.0,13,1,1,1,0
sky,on,sky_banked_000018_r006.0_pos,6.0,640.2,335.0,+0.0,27,1,1,2,0
sky,on,sky_banked_000019_r006.0_pos,6.0,640.2,335.0,+0.0,15,1,1,1,0
sky,on,sky_banked_000020_r006.0_pos,6.0,640.1,335.1,+0.0,10,1,1,1,0
sky,on,sky_banked_000021_r006.0_pos,6.0,640.0,335.3,-0.0,16,1,1,1,0
sky,on,sky_banked_000022_r006.0_pos,6.0,639.8,335.4,-0.0,20,1,1,1,0
sky,on,sky_banked_000023_r006.0_pos,6.0,639.5,335.4,-0.0,17,1,1,1,0
sky,on,sky_banked_000024_r006.0_pos,6.0,639.4,335.5,-0.1,13,1,1,1,0
sky,on,sky_banked_000025_r006.0_pos,6.0,639.2,335.5,-0.1,10,1,1,1,0
sky,on,sky_banked_000026_r006.0_pos,6.0,639.0,335.5,-0.1,16,1,1,1,0
sky,on,sky_banked_000027_r006.0_pos,6.0,638.8,335.8,-0.1,18,1,1,1,0
sky,on,sky_banked_000028_r006.0_pos,6.0,638.6,336.2,-0.2,15,1,1,1,0
sky,on,sky_banked_000029_r006.0_pos,6.0,638.4,336.6,-0.2,16,1,1,1,0
sky,on,sky_banked_000030_r006.0_pos,6.0,638.2,336.8,-0.2,15,1,1,1,0
sky,on,sky_banked_000031_r006.0_pos,6.0,637.9,336.7,-0.2,15,1,1,1,0
sky,on,sky_banked_000032_r006.0_pos,6.0,637.8,336.5,-0.2,15,1,1,1,0
sky,on,sky_banked_000033_r006.0_pos,6.0,637.6,336.5,-0.3,10,1,1,1,0
sky,on,sky_banked_000034_r006.0_pos,6.0,637.6,336.6,-0.3,9,1,1,1,0
sky,on,sky_banked_000035_r006.0_pos,6.0,637.6,336.7,-0.2,13,1,1,1,0
sky,on,sky_banked_000036_r006.0_pos,6.0,637.8,336.6,-0.2,28,1,1,1,0
sky,on,sky_banked_000037_r006.0_pos,6.0,637.8,336.4,-0.2,16,1,1,1,0
sky,on,sky_banked_000038_r006.0_pos,6.0,637.8,336.4,-0.2,13,1,1,1,0
sky,off,sky_banked_000039_r006.0_pos,6.0,485.3,329.5,-16.0,17,1,1,1,0
sky,off,sky_banked_000040_r006.0_pos,6.0,485.5,329.5,-16.0,10,1,1,1,0
sky,off,sky_banked_000041_r006.0_pos,6.0,485.7,329.2,-15.9,10,1,1,1,0
sky,off,sky_banked_000042_r006.0_pos,6.0,486.0,328.9,-15.9,17,1,1,1,0
sky,off,sky_banked_000043_r006.0_pos,6.0,486.2,328.7,-15.9,17,1,1,1,0
sky,off,sky_banked_000044_r006.0_pos,6.0,486.5,328.6,-15.9,16,1,1,1,0
sky,off,sky_banked_000045_r006.0_pos,6.0,486.7,329.0,-15.8,13,1,1,1,0
sky,off,sky_banked_000046_r006.0_pos,6.0,486.9,329.2,-15.8,11,1,1,1,0
sky,off,sky_banked_000047_r006.0_pos,6.0,487.1,329.5,-15.8,10,1,1,1,0
sky,off,sky_banked_000048_r006.0_pos,6.0,487.3,329.4,-15.8,15,1,1,1,0
sky,off,sky_banked_000049_r006.0_pos,6.0,487.4,329.0,-15.8,19,1,1,1,0
sky,off,sky_banked_000050_r006.0_pos,6.0,487.4,328.4,-15.8,16,1,1,1,0
sky,off,sky_banked_000051_r006.0_pos,6.0,487.3,327.8,-15.8,12,1,0,3,1
sky,off,sky_banked_000052_r006.0_pos,6.0,487.3,327.2,-15.8,3,0,0,,1
sky,off,sky_banked_000053_r006.0_pos,6.0,487.2,326.5,-15.8,20,1,1,1,0
sky,off,sky_banked_000054_r006.0_pos,6.0,487.0,325.8,-15.8,16,1,1,1,0
sky,off,sky_banked_000055_r006.0_pos,6.0,486.8,325.3,-15.8,11,1,1,1,0
sky,off,sky_banked_000056_r006.0_pos,6.0,486.7,324.9,-15.9,21,1,1,1,0
sky,off,sky_banked_000057_r006.0_pos,6.0,486.6,324.9,-15.9,15,1,1,1,0
sky,off,sky_banked_000058_r006.0_pos,6.0,486.4,325.2,-15.9,2,0,0,,1
sky,off,sky_banked_000059_r006.0_pos,6.0,486.3,325.7,-15.9,10,1,1,1,0
sky,off,sky_banked_000060_r006.0_pos,6.0,486.1,326.1,-15.9,10,1,1,1,0
sky,off,sky_banked_000061_r006.0_pos,6.0,485.7,326.6,-15.9,10,1,1,1,0
sky,off,sky_banked_000062_r006.0_pos,6.0,485.3,326.6,-16.0,22,1,1,1,0
sky,off,sky_banked_000063_r006.0_pos,6.0,484.8,326.6,-16.0,24,1,1,1,0
sky,on,sky_banked_000064_r008.0_pos,8.0,639.7,335.1,-0.0,16,1,1,1,0
sky,on,sky_banked_000065_r008.0_pos,8.0,639.4,335.0,-0.1,23,1,1,1,0
sky,on,sky_banked_000066_r008.0_pos,8.0,639.2,334.9,-0.1,16,1,1,1,0
sky,on,sky_banked_000067_r008.0_pos,8.0,639.0,334.7,-0.1,10,1,1,1,0
sky,on,sky_banked_000068_r008.0_pos,8.0,638.8,334.6,-0.1,10,1,1,1,0
sky,on,sky_banked_000069_r008.0_pos,8.0,638.6,334.4,-0.2,17,1,1,1,0
sky,on,sky_banked_000070_r008.0_pos,8.0,638.3,334.3,-0.2,19,1,1,1,0
sky,on,sky_banked_000071_r008.0_pos,8.0,638.1,334.5,-0.2,27,1,1,1,0
sky,on,sky_banked_000072_r008.0_pos,8.0,638.0,334.8,-0.2,23,1,1,1,0
sky,on,sky_banked_000073_r008.0_pos,8.0,637.9,335.0,-0.2,11,1,1,1,0
sky,on,sky_banked_000074_r008.0_pos,8.0,637.8,335.2,-0.2,11,1,1,1,0
sky,on,sky_banked_000075_r008.0_pos,8.0,637.8,334.9,-0.2,11,1,1,1,0
sky,on,sky_banked_000076_r008.0_pos,8.0,637.8,334.2,-0.2,12,1,1,1,0
sky,on,sky_banked_000077_r008.0_pos,8.0,637.8,333.3,-0.2,18,1,1,1,0
sky,on,sky_banked_000078_r008.0_pos,8.0,637.9,332.8,-0.2,18,1,1,1,0
sky,on,sky_banked_000079_r008.0_pos,8.0,637.9,332.7,-0.2,13,1,1,1,0
sky,on,sky_banked_000080_r008.0_pos,8.0,638.0,332.7,-0.2,21,1,1,2,0
sky,on,sky_banked_000081_r008.0_pos,8.0,638.1,332.8,-0.2,11,1,1,1,0
sky,on,sky_banked_000082_r008.0_pos,8.0,638.4,333.1,-0.2,11,1,1,1,0
sky,on,sky_banked_000083_r008.0_pos,8.0,638.7,333.6,-0.1,30,1,1,1,0
sky,on,sky_banked_000084_r008.0_pos,8.0,639.1,334.3,-0.1,20,1,1,1,0
sky,on,sky_banked_000085_r008.0_pos,8.0,639.8,334.9,-0.0,13,1,1,1,0
sky,on,sky_banked_000086_r008.0_pos,8.0,640.6,335.4,+0.1,12,1,1,1,0
