background,attitude_axis,frame,gt_range,gcx,gcy,gbearing_deg,n_boxes,any_hit,top1_hit,target_hit_rank,top1_is_phantom
sky,off,sky_level_000001_r020.0_pos,20.0,485.6,478.5,-16.0,2,1,1,1,0
sky,off,sky_level_000002_r020.0_pos,20.0,485.5,479.1,-16.0,2,1,1,1,0
sky,off,sky_level_000003_r020.0_pos,20.0,485.4,479.6,-16.0,10,1,1,4,0
sky,off,sky_level_000004_r020.0_pos,20.0,485.4,479.8,-16.0,9,1,1,4,0
sky,off,sky_level_000005_r020.0_pos,20.0,485.4,480.1,-16.0,8,1,1,4,0
sky,off,sky_level_000006_r020.0_pos,20.0,485.4,480.6,-16.0,11,1,1,4,0
sky,off,sky_level_000007_r020.0_pos,20.0,485.5,481.2,-16.0,10,1,1,7,0
sky,off,sky_level_000008_r020.0_pos,20.0,485.6,481.5,-16.0,7,1,1,1,0
sky,off,sky_level_000009_r020.0_pos,20.0,485.6,481.7,-16.0,2,1,1,1,0
sky,off,sky_level_000010_r020.0_pos,20.0,485.7,482.0,-15.9,13,1,1,4,0
sky,off,sky_level_000011_r020.0_pos,20.0,485.7,482.4,-15.9,7,1,1,2,0
sky,off,sky_level_000012_r020.0_pos,20.0,485.7,482.6,-16.0,7,1,0,2,1
sky,off,sky_level_000013_r020.0_pos,20.0,485.5,482.4,-16.0,6,1,0,2,1
sky,off,sky_level_000014_r020.0_pos,20.0,485.3,481.7,-16.0,2,1,1,1,0
sky,on,sky_level_000015_r006.0_pos,6.0,639.6,334.0,-0.0,16,1,1,1,0
sky,on,sky_level_000016_r006.0_pos,6.0,639.3,333.0,-0.1,18,1,1,1,0
sky,on,sky_level_000017_r006.0_pos,6.0,639.1,332.3,-0.1,24,1,1,1,0
sky,on,sky_level_000018_r006.0_pos,6.0,638.9,331.7,-0.1,15,1,1,1,0
sky,on,sky_level_000019_r006.0_pos,6.0,638.8,331.3,-0.1,13,1,1,1,0
sky,on,sky_level_000020_r006.0_pos,6.0,638.8,331.1,-0.1,11,1,1,1,0
sky,on,sky_level_000021_r006.0_pos,6.0,638.7,331.3,-0.1,11,1,1,1,0
sky,on,sky_level_000022_r006.0_pos,6.0,638.6,331.9,-0.1,10,1,1,1,0
sky,on,sky_level_000023_r006.0_pos,6.0,638.6,332.3,-0.1,10,1,1,1,0
sky,on,sky_level_000024_r006.0_pos,6.0,638.6,332.5,-0.1,26,1,1,1,0
sky,on,sky_level_000025_r006.0_pos,6.0,638.6,332.6,-0.2,24,1,1,1,0
sky,on,sky_level_000026_r006.0_pos,6.0,638.6,333.0,-0.1,14,1,1,1,0
sky,on,sky_level_000027_r006.0_pos,6.0,638.7,333.4,-0.1,19,1,1,1,0
sky,on,sky_level_000028_r006.0_pos,6.0,638.9,333.9,-0.1,10,1,1,1,0
