t,phase,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,cmd_vf,cmd_vr,cmd_vd,cmd_yawrate_deg_s,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,settled
4.225,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.428,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0020,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.629,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.830,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0050,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.031,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0070,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.233,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0090,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.434,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0090,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.635,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0090,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.835,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0080,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.037,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0070,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.237,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0050,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.438,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.640,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.842,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0020,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.043,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0050,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.243,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0080,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.445,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0120,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.646,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0150,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.847,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0180,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
8.049,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0210,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
8.250,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0230,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
8.451,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0250,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
8.652,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0270,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
8.853,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0280,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
9.054,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0300,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
9.255,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0300,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
9.457,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0280,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
9.660,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0260,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
9.861,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0230,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
10.063,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,-0.0210,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
10.264,TAKEOFF,1,0.0290,-0.2857,4.9565,4.9648,0.00585,,,,,-0.0190,0.1210,0.0300,0.2290,5.0000,0.0000,0.5000,4.8866,0
10.464,TAKEOFF,1,0.0291,-0.3260,4.9648,4.9756,0.00587,,,,,-0.0170,0.1228,0.0300,0.2290,5.0000,0.0000,0.5000,4.8848,0
10.666,TAKEOFF,1,0.0297,-0.3576,4.9461,4.9591,0.00600,,,,,-0.0160,0.1268,0.0300,0.2304,5.0000,0.0000,0.5000,4.8808,0
10.867,TAKEOFF,1,0.0341,-0.3509,4.9603,4.9728,0.00688,,,,,-0.0100,0.1333,0.0302,0.2368,5.0000,0.0000,0.5000,4.8739,0
11.068,TAKEOFF,1,0.0341,-0.3010,4.9363,4.9456,0.00691,,,,,0.0040,0.1433,0.0309,0.2513,5.0000,0.0000,0.5000,4.8632,0
11.269,TAKEOFF,1,0.0356,-0.2500,4.9337,4.9401,0.00721,,,,,0.0230,0.1549,0.0321,0.2736,5.0000,0.0000,0.5000,4.8505,0
11.470,TAKEOFF,1,0.0371,-0.1875,4.9105,4.9142,0.00756,,,,,0.0500,0.1656,0.0336,0.3009,5.0000,0.0000,0.5000,4.8386,0
11.671,TAKEOFF,1,0.0371,-0.1403,4.9106,4.9127,0.00756,,,,,0.0810,0.1742,0.0352,0.3301,5.0000,0.0000,0.5000,4.8289,0
