t,phase,law,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range
2.684,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.968,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.885,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.971,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.086,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.978,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.289,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.981,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.489,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.981,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.691,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.981,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.892,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.982,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.092,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.982,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.294,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.981,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.494,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.980,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.697,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.982,,,,,,,0.0000,,,,,0.0040,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.897,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.985,,,,,,,0.0000,,,,,0.0070,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.098,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.988,,,,,,,0.0000,,,,,0.0100,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.299,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.992,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.500,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.995,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.701,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.993,,,,,,,0.0000,,,,,0.0070,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.902,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.990,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.102,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.986,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.303,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.981,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.504,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.977,,,,,,,0.0000,,,,,0.0090,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.705,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.975,,,,,,,0.0000,,,,,0.0120,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.906,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.973,,,,,,,0.0000,,,,,0.0160,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
7.109,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.969,,,,,,,0.0000,,,,,0.0190,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
7.310,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.967,,,,,,,0.0000,,,,,0.0230,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
7.511,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.967,,,,,,,0.0000,,,,,0.0260,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
7.712,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.977,,,,,,,0.0000,,,,,0.0300,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
7.914,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.994,,,,,,,0.0000,,,,,0.0330,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
8.115,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.006,,,,,,,0.0000,,,,,0.0340,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
8.316,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.008,,,,,,,0.0000,,,,,0.0360,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
8.520,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.999,,,,,,,0.0000,,,,,0.0380,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
8.721,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.996,,,,,,,0.0000,,,,,0.0400,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
8.922,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.992,,,,,,,0.0000,,,,,0.0420,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
9.123,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.989,,,,,,,0.0000,,,,,0.0420,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
9.324,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.989,,,,,,,0.0000,,,,,0.0410,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
9.526,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.994,,,,,,,0.0000,,,,,0.0380,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
9.727,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.008,,,,,,,0.0000,,,,,0.0340,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
9.927,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.030,,,,,,,0.0000,,,,,0.0290,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
10.130,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.041,,,,,,,0.0000,,,,,0.0220,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
10.331,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.034,,,,,,,0.0000,,,,,0.0150,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
10.532,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.020,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
10.733,TAKEOFF,pronav,1,4.1317,-0.2785,6.5404,7.7411,0.56342,95.996,,,,,,,0.0000,,,,,0.0030,0.1200,0.0301,0.2291,6.5000,-4.0000,0.5000,7.5511
10.934,TAKEOFF,pronav,1,4.1334,-0.2652,6.5324,7.7348,0.56415,95.922,,,,,,,0.0000,,,,,0.0000,0.1204,0.0314,0.2297,6.5000,-4.0000,0.5000,7.5515
11.136,TAKEOFF,pronav,1,4.1448,-0.2508,6.5301,7.7386,0.56556,95.891,,,,,,,0.0000,,,,,-0.0010,0.1218,0.0348,0.2317,6.5000,-4.0000,0.5000,7.5520
11.337,TAKEOFF,pronav,1,4.1271,-0.2427,6.4858,7.6913,0.56670,95.890,,,,,,,0.0000,,,,,0.0010,0.1242,0.0408,0.2375,6.5000,-4.0000,0.5000,7.5530
11.538,TAKEOFF,pronav,1,4.1403,-0.2464,6.4878,7.7003,0.56802,95.890,,,,,,,0.0000,,,,,0.0110,0.1284,0.0511,0.2492,6.5000,-4.0000,0.5000,7.5546
11.740,TAKEOFF,pronav,1,4.1606,-0.2486,6.5009,7.7223,0.56931,95.851,,,,,,,0.0000,,,,,0.0250,0.1343,0.0646,0.2665,6.5000,-4.0000,0.5000,7.5563
11.942,TAKEOFF,pronav,1,4.1835,-0.2503,6.5161,7.7475,0.57074,95.777,,,,,,,0.0000,,,,,0.0440,0.1399,0.0767,0.2846,6.5000,-4.0000,0.5000,7.5575
12.143,TAKEOFF,pronav,1,4.1706,-0.2438,6.4695,7.7011,0.57261,95.706,,,,,,,0.0000,,,,,0.0650,0.1460,0.0883,0.3067,6.5000,-4.0000,0.5000,7.5581
12.343,TAKEOFF,pronav,1,4.1879,-0.2321,6.4781,7.7174,0.57388,95.692,,,,,,,0.0000,,,,,0.0890,0.1519,0.0976,0.3317,6.5000,-4.0000,0.5000,7.5576
12.544,TAKEOFF,pronav,1,4.2056,-0.2112,6.4923,7.7383,0.57482,95.720,,,,,,,0.0000,,,,,0.1140,0.1563,0.1024,0.3543,6.5000,-4.0000,0.5000,7.5560
12.745,TAKEOFF,pronav,1,4.2147,-0.1782,6.4952,7.7448,0.57560,95.763,,,,,,,0.0000,,,,,0.1440,0.1605,0.1043,0.3801,6.5000,-4.0000,0.5000,7.5531
12.946,TAKEOFF,pronav,1,4.2047,-0.1506,6.4782,7.7246,0.57571,95.813,,,,,,,0.0000,,,,,0.1720,0.1639,0.1024,0.4063,6.5000,-4.0000,0.5000,7.5489
13.147,TAKEOFF,pronav,1,4.1815,-0.1222,6.4445,7.6832,0.57557,95.837,,,,,,,0.0000,,,,,0.1980,0.1662,0.0981,0.4286,6.5000,-4.0000,0.5000,7.5444
13.348,TAKEOFF,pronav,1,4.1829,-0.0839,6.4555,7.6926,0.57494,95.803,,,,,,,0.0000,,,,,0.2240,0.1681,0.0912,0.4525,6.5000,-4.0000,0.5000,7.5388
13.550,TAKEOFF,pronav,1,4.1607,-0.0485,6.4296,7.6585,0.57435,95.763,,,,,,,0.0000,,,,,0.2520,0.1697,0.0820,0.4767,6.5000,-4.0000,0.5000,7.5324
13.751,TAKEOFF,pronav,1,4.1666,-0.0161,6.4535,7.6817,0.57330,95.743,,,,,,,0.0000,,,,,0.2720,0.1705,0.0730,0.4964,6.5000,-4.0000,0.5000,7.5267
13.952,TAKEOFF,pronav,1,4.1617,0.0192,6.4626,7.6867,0.57212,95.708,,,,,,,0.0000,,,,,0.2880,0.1709,0.0626,0.5094,6.5000,-4.0000,0.5000,7.5208
14.152,TAKEOFF,pronav,1,4.1624,0.0276,6.4828,7.7041,0.57077,95.648,,,,,,,0.0000,,,,,0.2850,0.1707,0.0516,0.5039,6.5000,-4.0000,0.5000,7.5150
14.353,TAKEOFF,pronav,1,4.1377,0.0248,6.4615,7.6728,0.56958,95.566,,,,,,,0.0000,,,,,0.2720,0.1698,0.0422,0.4930,6.5000,-4.0000,0.5000,7.5107
14.554,TAKEOFF,pronav,1,4.1158,0.0218,6.4468,7.6487,0.56820,95.499,,,,,,,0.0000,,,,,0.2670,0.1683,0.0327,0.4872,6.5000,-4.0000,0.5000,7.5069
14.755,TAKEOFF,pronav,1,4.1265,0.0263,6.4791,7.6817,0.56710,95.461,,,,,,,0.0000,,,,,0.2700,0.1660,0.0237,0.4890,6.5000,-4.0000,0.5000,7.5040
14.957,TAKEOFF,pronav,1,4.1177,0.0332,6.4773,7.6754,0.56626,95.441,,,,,,,0.0000,,,,,0.2770,0.1630,0.0163,0.4950,6.5000,-4.0000,0.5000,7.5025
15.158,TAKEOFF,pronav,1,4.1174,0.0396,6.4919,7.6876,0.56521,95.423,,,,,,,0.0000,,,,,0.2880,0.1598,0.0107,0.5018,6.5000,-4.0000,0.5000,7.5022
15.359,TAKEOFF,pronav,1,4.0857,0.0432,6.4566,7.6408,0.56419,95.399,,,,,,,0.0000,,,,,0.2990,0.1555,0.0054,0.5105,6.5000,-4.0000,0.5000,7.5030
15.561,TAKEOFF,pronav,1,4.0909,0.0471,6.4741,7.6585,0.56354,95.371,,,,,,,0.0000,,,,,0.3100,0.1515,0.0019,0.5182,6.5000,-4.0000,0.5000,7.5046
15.763,TAKEOFF,pronav,1,4.0758,0.0452,6.4623,7.6404,0.56269,95.332,,,,,,,0.0000,,,,,0.3220,0.1470,-0.0008,0.5263,6.5000,-4.0000,0.5000,7.5070
15.965,TAKEOFF,pronav,1,4.0957,0.0411,6.5002,7.6831,0.56225,95.296,,,,,,,0.0000,,,,,0.3310,0.1425,-0.0023,0.5344,6.5000,-4.0000,0.5000,7.5101
16.166,TAKEOFF,pronav,1,4.0742,0.0410,6.4734,7.6489,0.56174,95.277,,,,,,,0.0000,,,,,0.3390,0.1390,-0.0025,0.5411,6.5000,-4.0000,0.5000,7.5129
16.367,TAKEOFF,pronav,1,4.0801,0.0402,6.4849,7.6618,0.56159,95.276,,,,,,,0.0000,,,,,0.3470,0.1360,-0.0016,0.5483,6.5000,-4.0000,0.5000,7.5159
16.568,TAKEOFF,pronav,1,4.0814,0.0402,6.4868,7.6640,0.56160,95.279,,,,,,,0.0000,,,,,0.3540,0.1339,0.0004,0.5559,6.5000,-4.0000,0.5000,7.5189
16.770,TAKEOFF,pronav,1,4.0843,0.0405,6.4895,7.6679,0.56174,95.293,,,,,,,0.0000,,,,,0.3590,0.1329,0.0028,0.5625,6.5000,-4.0000,0.5000,7.5210
16.971,TAKEOFF,pronav,1,4.0978,0.0458,6.5035,7.6869,0.56225,95.317,,,,,,,0.0000,,,,,0.3670,0.1328,0.0058,0.5696,6.5000,-4.0000,0.5000,7.5228
17.172,TAKEOFF,pronav,1,4.1008,0.0535,6.5046,7.6895,0.56250,95.323,,,,,,,0.0000,,,,,0.3750,0.1335,0.0092,0.5770,6.5000,-4.0000,0.5000,7.5241
17.372,TAKEOFF,pronav,1,4.1055,0.0648,6.5077,7.6947,0.56281,95.325,,,,,,,0.0000,,,,,0.3820,0.1347,0.0125,0.5839,6.5000,-4.0000,0.5000,7.5248
17.573,TAKEOFF,pronav,1,4.1208,0.0781,6.5215,7.7147,0.56353,95.334,,,,,,,0.0000,,,,,0.3900,0.1362,0.0153,0.5898,6.5000,-4.0000,0.5000,7.5252
17.776,TAKEOFF,pronav,1,4.1056,0.0887,6.4903,7.6803,0.56402,95.360,,,,,,,0.0000,,,,,0.3990,0.1381,0.0185,0.5961,6.5000,-4.0000,0.5000,7.5254
17.977,TAKEOFF,pronav,1,4.1215,0.0998,6.5138,7.7088,0.56414,95.386,,,,,,,0.0000,,,,,0.4060,0.1397,0.0210,0.6009,6.5000,-4.0000,0.5000,7.5254
17.991,ACQUIRE,pronav,1,4.1259,0.1017,6.5193,7.7159,0.56424,95.389,127.717,0.000,7.7159,0.0000,1.5000,0.0000,0.0000,0.0000,0.0000,-0.0940,127.7174,0.4060,0.1399,0.0212,0.6013,6.5000,-4.0000,0.5000,7.5254
18.043,ACQUIRE,pronav,1,4.1187,0.1033,6.5059,7.7007,0.56438,95.393,127.724,0.072,7.7083,-0.0441,1.5000,0.0075,0.0000,0.0000,0.0000,-0.0920,127.7297,0.4080,0.1403,0.0218,0.6024,6.5000,-4.0000,0.5000,7.5254
18.094,ACQUIRE,pronav,1,4.1217,0.1064,6.5088,7.7048,0.56452,95.398,127.735,0.160,7.7054,-0.0478,1.5000,0.0168,0.0000,0.0000,0.0000,-0.0900,127.7422,0.4100,0.1408,0.0227,0.6041,6.5000,-4.0000,0.5000,7.5254
18.145,ACQUIRE,pronav,1,4.1222,0.1096,6.5066,7.7032,0.56471,95.447,127.773,0.518,7.7031,-0.0473,1.5000,0.0543,0.0000,0.0000,0.0000,-0.0890,127.8031,0.4110,0.1413,0.0232,0.6055,6.5000,-4.0000,0.5000,7.5254
