t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
4.027,10.936,TAKEOFF,pronav,0,,,,,,,96.529,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
4.230,11.056,TAKEOFF,pronav,0,,,,,,,96.528,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
4.431,11.176,TAKEOFF,pronav,0,,,,,,,96.519,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
4.631,11.292,TAKEOFF,pronav,0,,,,,,,96.512,,,,,,,0.0000,,,,,0.0040,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
4.833,11.420,TAKEOFF,pronav,0,,,,,,,96.507,,,,,,,0.0000,,,,,0.0070,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
5.034,11.520,TAKEOFF,pronav,0,,,,,,,96.504,,,,,,,0.0000,,,,,0.0100,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
5.237,11.652,TAKEOFF,pronav,0,,,,,,,96.502,,,,,,,0.0000,,,,,0.0110,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
5.438,11.776,TAKEOFF,pronav,0,,,,,,,96.500,,,,,,,0.0000,,,,,0.0120,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
5.640,11.900,TAKEOFF,pronav,0,,,,,,,96.496,,,,,,,0.0000,,,,,0.0110,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
5.840,12.004,TAKEOFF,pronav,0,,,,,,,96.490,,,,,,,0.0000,,,,,0.0090,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
6.043,12.120,TAKEOFF,pronav,0,,,,,,,96.484,,,,,,,0.0000,,,,,0.0090,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
6.245,12.244,TAKEOFF,pronav,0,,,,,,,96.478,,,,,,,0.0000,,,,,0.0110,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
6.447,12.372,TAKEOFF,pronav,0,,,,,,,96.470,,,,,,,0.0000,,,,,0.0120,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
6.648,12.468,TAKEOFF,pronav,0,,,,,,,96.464,,,,,,,0.0000,,,,,0.0130,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
6.849,12.592,TAKEOFF,pronav,0,,,,,,,96.458,,,,,,,0.0000,,,,,0.0150,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
7.050,12.708,TAKEOFF,pronav,0,,,,,,,96.453,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
7.253,12.840,TAKEOFF,pronav,0,,,,,,,96.452,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
7.454,12.940,TAKEOFF,pronav,0,,,,,,,96.453,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
7.655,13.068,TAKEOFF,pronav,0,,,,,,,96.453,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
7.857,13.192,TAKEOFF,pronav,0,,,,,,,96.453,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
8.057,13.308,TAKEOFF,pronav,0,,,,,,,96.452,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
8.259,13.408,TAKEOFF,pronav,0,,,,,,,96.448,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
8.461,13.532,TAKEOFF,pronav,0,,,,,,,96.445,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
8.663,13.664,TAKEOFF,pronav,0,,,,,,,96.439,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
8.863,13.788,TAKEOFF,pronav,0,,,,,,,96.437,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
9.064,13.908,TAKEOFF,pronav,0,,,,,,,96.430,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-28.1230,0.5000,28.8681,,,,,,,,,,,,,,,,,,,,
