t,phase,law,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range
2.868,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.069,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.068,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.069,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.270,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.069,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.471,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.072,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.672,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.075,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.873,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.077,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.074,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.077,,,,,,,0.0000,,,,,-0.0090,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.275,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.074,,,,,,,0.0000,,,,,-0.0120,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.476,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.073,,,,,,,0.0000,,,,,-0.0140,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.677,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.074,,,,,,,0.0000,,,,,-0.0150,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.878,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.076,,,,,,,0.0000,,,,,-0.0140,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.079,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.077,,,,,,,0.0000,,,,,-0.0140,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.280,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.078,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.480,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.084,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.682,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.086,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.883,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.085,,,,,,,0.0000,,,,,0.0050,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
