run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,2.0960,0,1,9.817,25.274,9.64,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T100739Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T100721Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T100721Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.6770,0,0,,,17.57,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T100842Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T100825Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T100825Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.2330,1,1,0.756,25.124,0.77,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T100958Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T100941Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T100941Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,1.5710,1,1,8.437,27.092,8.31,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101106Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T101049Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T101049Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.0550,1,1,6.666,26.678,6.83,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101217Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T101159Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T101159Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.6230,1,1,1.200,29.213,1.20,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101324Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T101306Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T101306Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.5140,1,1,8.307,24.568,8.44,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101438Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T101421Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T101421Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,0.8660,1,1,1.350,25.965,1.30,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101544Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T101526Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T101526Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.2980,0,1,9.999,26.154,9.82,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101652Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T101635Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T101635Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,0.6090,1,1,1.818,29.937,1.82,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101758Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T101740Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T101740Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.8520,1,1,0.864,23.989,0.85,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T101912Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T101854Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T101854Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,1.0500,1,1,1.116,27.643,13.50,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T102017Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260710T102000Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260710T102000Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.0140,1,1,9.151,27.132,8.44,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T102131Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260710T102113Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260710T102113Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,0.7840,0,1,5.806,26.859,5.93,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T102249Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260710T102232Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260710T102232Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.1750,1,1,1.709,25.220,11.49,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T102355Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260710T102337Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260710T102337Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,0.7990,1,1,2.177,28.178,2.14,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T102512Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260710T102455Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260710T102455Z.log,weave,standard,377930
