run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.9830,0,0,,,11.49,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T094301Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T094244Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T094244Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.5900,0,0,,,0.81,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T094417Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T094359Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T094359Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.1970,0,1,8.570,24.532,19.28,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T094653Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T094635Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T094635Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,1.5680,1,1,9.642,28.014,9.21,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T094755Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T094738Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T094738Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.0820,1,1,3.085,25.907,3.14,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T094904Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T094846Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T094846Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.5970,1,1,0.735,29.588,0.73,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T095018Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T095001Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T095001Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.2690,1,1,7.199,24.949,7.20,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T095137Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T095120Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T095120Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,0.8370,1,1,1.323,26.130,1.32,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T095244Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T095226Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T095226Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.2440,1,1,0.570,26.840,10.38,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T095354Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T095336Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T095336Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,0.5240,1,1,0.863,26.846,0.86,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T095502Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T095445Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T095445Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,2.0300,1,1,8.181,24.718,8.06,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T095613Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T095556Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T095556Z.log,weave,standard,728420
