run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,2.1610,1,1,7.396,24.460,7.38,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T091807Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T091749Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T091749Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.6710,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T091911Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T091854Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T091854Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.9690,1,1,9.817,24.835,10.19,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092033Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T092015Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T092015Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,0.9380,1,1,4.319,24.344,4.48,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092143Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T092125Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T092125Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.7280,1,1,4.576,23.507,4.50,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092249Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T092231Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T092231Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.5200,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092401Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T092343Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T092343Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.2180,1,1,2.000,25.577,1.97,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092521Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T092503Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T092503Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,0.7640,0,1,6.585,26.404,6.67,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092629Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T092611Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T092611Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.2640,1,1,1.621,26.012,1.66,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092733Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T092715Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T092715Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,0.6650,1,1,5.046,26.241,4.95,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T092842Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T092824Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T092824Z.log,weave,standard,435173
