run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,2.1810,0,0,,,18.00,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T085305Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T085248Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T085248Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.6140,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T085423Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T085405Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T085405Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.4320,1,1,7.713,24.857,7.60,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T085541Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T085523Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T085523Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,1.3110,1,1,9.817,27.013,10.21,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T085645Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T085628Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T085628Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.1410,1,1,3.506,26.819,3.56,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T085753Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T085735Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T085735Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.6690,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T085907Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T085850Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T085850Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.1100,1,1,7.104,23.680,7.20,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090029Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T090011Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T090011Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,0.8390,1,1,0.923,31.415,10.38,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090137Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T090119Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T090119Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.2020,0,1,9.999,25.876,10.19,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090252Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T090235Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T090235Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,0.5630,0,1,8.437,27.315,9.95,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090356Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T090339Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T090339Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.7890,1,1,4.655,24.865,4.65,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090504Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T090446Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T090446Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,0.7540,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090625Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260710T090608Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260710T090608Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.2670,1,1,9.309,26.746,9.31,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090743Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260710T090726Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260710T090726Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,0.5660,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T090914Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260710T090857Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260710T090857Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.3960,1,1,6.136,27.835,6.14,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T091034Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260710T091016Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260710T091016Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,0.8170,0,0,,,4.43,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T091153Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260710T091135Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260710T091135Z.log,weave,standard,377930
