run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,5.000,-15.343,91422,4.6330,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T022956Z.csv,pronav_5.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260716T022939Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260716T022939Z.log,line,standard,601392
1,pronav,0.000,-5.000,14.807,279502,1.6280,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023109Z.csv,pronav_5.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260716T023051Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260716T023051Z.log,line,standard,978171
2,pronav,0.000,5.000,-15.177,944976,4.2350,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023203Z.csv,pronav_5.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260716T023146Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260716T023146Z.log,line,standard,478640
3,pronav,0.000,-5.000,15.124,397541,3.0970,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023255Z.csv,pronav_5.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260716T023237Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260716T023237Z.log,line,standard,199622
4,pronav,0.000,5.000,-13.891,348335,3.6270,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023350Z.csv,pronav_5.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260716T023332Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260716T023332Z.log,line,standard,917239
5,pronav,0.000,-5.000,13.522,54423,2.6630,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023438Z.csv,pronav_5.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260716T023421Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260716T023421Z.log,line,standard,222819
6,pronav,0.000,5.000,-15.021,353598,4.1790,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023528Z.csv,pronav_5.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260716T023511Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260716T023511Z.log,line,standard,364784
7,pronav,0.000,-5.000,14.183,735776,2.4590,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023619Z.csv,pronav_5.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260716T023601Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260716T023601Z.log,line,standard,368635
8,pronav,0.000,5.000,-14.765,1752,4.2810,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023707Z.csv,pronav_5.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260716T023650Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260716T023650Z.log,line,standard,327999
9,pronav,0.000,-5.000,15.218,811166,1.6130,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T023809Z.csv,pronav_5.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260716T023751Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260716T023751Z.log,line,standard,838857
