run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,9.000,-15.343,91422,1.8150,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T040536Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260716T040514Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260716T040514Z.log,line,standard,601392
1,pronav,0.000,-9.000,14.807,279502,0.0930,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T040647Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260716T040626Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260716T040626Z.log,line,standard,978171
2,pronav,0.000,9.000,-15.177,944976,1.5500,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T040800Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260716T040738Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260716T040738Z.log,line,standard,478640
3,pronav,0.000,-9.000,15.124,397541,0.3500,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T040909Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260716T040847Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260716T040847Z.log,line,standard,199622
4,pronav,0.000,9.000,-13.891,348335,1.3610,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T041052Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260716T041030Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260716T041030Z.log,line,standard,917239
5,pronav,0.000,-9.000,13.522,54423,0.3050,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T041202Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260716T041140Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260716T041140Z.log,line,standard,222819
6,pronav,0.000,9.000,-15.021,353598,1.4910,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T041314Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260716T041253Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260716T041253Z.log,line,standard,364784
7,pronav,0.000,-9.000,14.183,735776,0.1640,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T041429Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260716T041407Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260716T041407Z.log,line,standard,368635
8,pronav,0.000,9.000,-14.765,1752,1.6280,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T041544Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260716T041523Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260716T041523Z.log,line,standard,327999
9,pronav,0.000,-9.000,15.218,811166,0.2890,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T041656Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260716T041634Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260716T041634Z.log,line,standard,838857
