run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,9.000,-15.343,91422,1.6180,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T032232Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260716T032210Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260716T032210Z.log,line,standard,601392
1,pronav,0.000,-9.000,14.807,279502,0.3920,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T032344Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260716T032321Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260716T032321Z.log,line,standard,978171
2,pronav,0.000,9.000,-15.177,944976,1.6390,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T032453Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260716T032431Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260716T032431Z.log,line,standard,478640
3,pronav,0.000,-9.000,15.124,397541,0.4500,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T032632Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260716T032610Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260716T032610Z.log,line,standard,199622
4,pronav,0.000,9.000,-13.891,348335,1.1320,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T032740Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260716T032717Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260716T032717Z.log,line,standard,917239
5,pronav,0.000,-9.000,13.522,54423,0.3990,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T032851Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260716T032828Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260716T032828Z.log,line,standard,222819
6,pronav,0.000,9.000,-15.021,353598,1.6870,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033001Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260716T032939Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260716T032939Z.log,line,standard,364784
7,pronav,0.000,-9.000,14.183,735776,0.2070,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033113Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260716T033051Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260716T033051Z.log,line,standard,368635
8,pronav,0.000,9.000,-14.765,1752,1.5330,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033219Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260716T033157Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260716T033157Z.log,line,standard,327999
9,pronav,0.000,-9.000,15.218,811166,0.2370,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033331Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260716T033309Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260716T033309Z.log,line,standard,838857
10,pronav,0.000,9.000,-15.237,626629,1.7980,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033440Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260716T033416Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260716T033416Z.log,line,standard,690884
11,pronav,0.000,-9.000,13.633,6916,0.2340,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033553Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260716T033531Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260716T033531Z.log,line,standard,832615
12,pronav,0.000,9.000,-14.554,470100,1.5510,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033700Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260716T033637Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260716T033637Z.log,line,standard,228302
13,pronav,0.000,-9.000,12.806,46020,0.3160,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T033812Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260716T033748Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260716T033748Z.log,line,standard,148141
14,pronav,0.000,9.000,-15.222,149082,1.7200,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T034019Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260716T033957Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260716T033957Z.log,line,standard,944019
15,pronav,0.000,-9.000,12.879,950648,0.2730,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T040139Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260716T034107Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260716T034107Z.log,line,standard,797021
