run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,9.000,-15.343,91422,1.8020,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T061945Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260716T061928Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260716T061928Z.log,line,standard,601392
1,pronav,0.000,-9.000,14.807,279502,0.5210,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062039Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260716T062022Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260716T062022Z.log,line,standard,978171
2,pronav,0.000,9.000,-15.177,944976,1.7100,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062132Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260716T062115Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260716T062115Z.log,line,standard,478640
3,pronav,0.000,-9.000,15.124,397541,0.4560,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062224Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260716T062207Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260716T062207Z.log,line,standard,199622
4,pronav,0.000,9.000,-13.891,348335,1.0600,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062319Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260716T062301Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260716T062301Z.log,line,standard,917239
5,pronav,0.000,-9.000,13.522,54423,0.4690,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062412Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260716T062355Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260716T062355Z.log,line,standard,222819
6,pronav,0.000,9.000,-15.021,353598,1.5110,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062503Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260716T062446Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260716T062446Z.log,line,standard,364784
7,pronav,0.000,-9.000,14.183,735776,0.4040,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062619Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260716T062602Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260716T062602Z.log,line,standard,368635
8,pronav,0.000,9.000,-14.765,1752,1.5060,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062713Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260716T062656Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260716T062656Z.log,line,standard,327999
9,pronav,0.000,-9.000,15.218,811166,0.5160,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062805Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260716T062748Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260716T062748Z.log,line,standard,838857
10,pronav,0.000,9.000,-15.237,626629,1.5430,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062859Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260716T062841Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260716T062841Z.log,line,standard,690884
11,pronav,0.000,-9.000,13.633,6916,0.4920,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T062952Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260716T062935Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260716T062935Z.log,line,standard,832615
12,pronav,0.000,9.000,-14.554,470100,1.0910,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T063046Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260716T063029Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260716T063029Z.log,line,standard,228302
13,pronav,0.000,-9.000,12.806,46020,0.6400,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T063134Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260716T063117Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260716T063117Z.log,line,standard,148141
14,pronav,0.000,9.000,-15.222,149082,1.5770,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T063226Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260716T063209Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260716T063209Z.log,line,standard,944019
15,pronav,0.000,-9.000,12.879,950648,nan,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260716T063316Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260716T063258Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260716T063258Z.log,line,standard,797021
