run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,9.000,-15.343,91422,5.1580,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214337Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260715T214319Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260715T214319Z.log,line,standard,601392
1,pronav,0.000,-9.000,14.807,279502,1.0200,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214428Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260715T214411Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260715T214411Z.log,line,standard,978171
2,pronav,0.000,9.000,-15.177,944976,5.0090,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214517Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260715T214500Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260715T214500Z.log,line,standard,478640
3,pronav,0.000,-9.000,15.124,397541,1.0200,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214611Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260715T214554Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260715T214554Z.log,line,standard,199622
4,pronav,0.000,9.000,-13.891,348335,4.9320,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214706Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260715T214648Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260715T214648Z.log,line,standard,917239
5,pronav,0.000,-9.000,13.522,54423,0.5100,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214759Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260715T214741Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260715T214741Z.log,line,standard,222819
6,pronav,0.000,9.000,-15.021,353598,5.1090,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T214908Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260715T214850Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260715T214850Z.log,line,standard,364784
7,pronav,0.000,-9.000,14.183,735776,1.4950,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215000Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260715T214943Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260715T214943Z.log,line,standard,368635
8,pronav,0.000,9.000,-14.765,1752,5.0140,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215106Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260715T215049Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260715T215049Z.log,line,standard,327999
9,pronav,0.000,-9.000,15.218,811166,3.5380,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215158Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260715T215140Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260715T215140Z.log,line,standard,838857
10,pronav,0.000,9.000,-15.237,626629,5.0680,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215247Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260715T215229Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260715T215229Z.log,line,standard,690884
11,pronav,0.000,-9.000,13.633,6916,0.4290,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215340Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260715T215322Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260715T215322Z.log,line,standard,832615
12,pronav,0.000,9.000,-14.554,470100,5.0900,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215432Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260715T215415Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260715T215415Z.log,line,standard,228302
13,pronav,0.000,-9.000,12.806,46020,0.9130,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215527Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260715T215509Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260715T215509Z.log,line,standard,148141
14,pronav,0.000,9.000,-15.222,149082,5.1350,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215615Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260715T215557Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260715T215557Z.log,line,standard,944019
15,pronav,0.000,-9.000,12.879,950648,1.4390,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T215710Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260715T215653Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260715T215653Z.log,line,standard,797021
