run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,9.000,-15.343,91422,1.7390,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220041Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260715T220024Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260715T220024Z.log,line,standard,601392
1,pronav,0.000,-9.000,14.807,279502,5.8340,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220130Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260715T220112Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260715T220112Z.log,line,standard,978171
2,pronav,0.000,9.000,-15.177,944976,1.6170,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220220Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260715T220203Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260715T220203Z.log,line,standard,478640
3,pronav,0.000,-9.000,15.124,397541,5.8690,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220314Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260715T220257Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260715T220257Z.log,line,standard,199622
4,pronav,0.000,9.000,-13.891,348335,1.1290,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220405Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260715T220347Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260715T220347Z.log,line,standard,917239
5,pronav,0.000,-9.000,13.522,54423,6.2140,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220457Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260715T220439Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260715T220439Z.log,line,standard,222819
6,pronav,0.000,9.000,-15.021,353598,1.5840,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220545Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260715T220527Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260715T220527Z.log,line,standard,364784
7,pronav,0.000,-9.000,14.183,735776,5.6070,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220638Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260715T220621Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260715T220621Z.log,line,standard,368635
8,pronav,0.000,9.000,-14.765,1752,1.7180,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220725Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260715T220707Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260715T220707Z.log,line,standard,327999
9,pronav,0.000,-9.000,15.218,811166,6.0960,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220821Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260715T220803Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260715T220803Z.log,line,standard,838857
10,pronav,0.000,9.000,-15.237,626629,1.6150,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220909Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260715T220852Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260715T220852Z.log,line,standard,690884
11,pronav,0.000,-9.000,13.633,6916,6.2540,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T220958Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260715T220940Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260715T220940Z.log,line,standard,832615
12,pronav,0.000,9.000,-14.554,470100,1.2450,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T221049Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260715T221031Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260715T221031Z.log,line,standard,228302
13,pronav,0.000,-9.000,12.806,46020,5.7650,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T221138Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260715T221120Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260715T221120Z.log,line,standard,148141
14,pronav,0.000,9.000,-15.222,149082,1.4070,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T221226Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260715T221209Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260715T221209Z.log,line,standard,944019
15,pronav,0.000,-9.000,12.879,950648,5.4540,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T221320Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260715T221303Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260715T221303Z.log,line,standard,797021
