run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,9.000,-15.343,91422,2.2340,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201345Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260715T201327Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260715T201327Z.log,line,standard,601392
1,pronav,0.000,-9.000,14.807,279502,4.1200,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201438Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260715T201420Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260715T201420Z.log,line,standard,978171
2,pronav,0.000,9.000,-15.177,944976,2.2050,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201526Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260715T201508Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260715T201508Z.log,line,standard,478640
3,pronav,0.000,-9.000,15.124,397541,3.1780,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201618Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260715T201601Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260715T201601Z.log,line,standard,199622
4,pronav,0.000,9.000,-13.891,348335,2.4660,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201715Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260715T201658Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260715T201658Z.log,line,standard,917239
5,pronav,0.000,-9.000,13.522,54423,4.9780,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201807Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260715T201750Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260715T201750Z.log,line,standard,222819
6,pronav,0.000,9.000,-15.021,353598,2.5730,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201859Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260715T201841Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260715T201841Z.log,line,standard,364784
7,pronav,0.000,-9.000,14.183,735776,4.5490,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T201950Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260715T201932Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260715T201932Z.log,line,standard,368635
8,pronav,0.000,9.000,-14.765,1752,2.1140,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T202052Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260715T202034Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260715T202034Z.log,line,standard,327999
9,pronav,0.000,-9.000,15.218,811166,3.3880,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T202142Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260715T202124Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260715T202124Z.log,line,standard,838857
10,pronav,0.000,9.000,-15.237,626629,2.0900,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T202231Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260715T202214Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260715T202214Z.log,line,standard,690884
11,pronav,0.000,-9.000,13.633,6916,3.4390,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T202323Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260715T202306Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260715T202306Z.log,line,standard,832615
12,pronav,0.000,9.000,-14.554,470100,2.4100,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T202414Z.csv,pronav_9.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260715T202356Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260715T202356Z.log,line,standard,228302
13,pronav,0.000,-9.000,12.806,46020,3.3650,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T202509Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260715T202452Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260715T202452Z.log,line,standard,148141
