run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-15.343,91422,1.1310,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171324Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260715T171306Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260715T171306Z.log,weave,standard,601392
1,pronav,0.000,-12.000,14.807,279502,2.1740,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171413Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260715T171357Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260715T171357Z.log,weave,standard,978171
2,pronav,0.000,12.000,-15.177,944976,1.1910,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171504Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260715T171447Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260715T171447Z.log,weave,standard,478640
3,pronav,0.000,-12.000,15.124,397541,2.1080,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171557Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260715T171539Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260715T171539Z.log,weave,standard,199622
4,pronav,0.000,12.000,-13.891,348335,1.4270,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171649Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260715T171632Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260715T171632Z.log,weave,standard,917239
5,pronav,0.000,-12.000,13.522,54423,3.2940,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171743Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260715T171726Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260715T171726Z.log,weave,standard,222819
6,pronav,0.000,12.000,-15.021,353598,1.4860,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171838Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260715T171820Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260715T171820Z.log,weave,standard,364784
7,pronav,0.000,-12.000,14.183,735776,3.7160,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T171928Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260715T171911Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260715T171911Z.log,weave,standard,368635
8,pronav,0.000,12.000,-14.765,1752,1.4560,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172014Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260715T171958Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260715T171958Z.log,weave,standard,327999
9,pronav,0.000,-12.000,15.218,811166,2.2110,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172104Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260715T172047Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260715T172047Z.log,weave,standard,838857
10,pronav,0.000,12.000,-15.237,626629,1.3430,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172151Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260715T172135Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260715T172135Z.log,weave,standard,690884
11,pronav,0.000,-12.000,13.633,6916,2.2790,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172244Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260715T172226Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260715T172226Z.log,weave,standard,832615
12,pronav,0.000,12.000,-14.554,470100,1.5780,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172332Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260715T172315Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260715T172315Z.log,weave,standard,228302
13,pronav,0.000,-12.000,12.806,46020,3.2950,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172437Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260715T172420Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260715T172420Z.log,weave,standard,148141
14,pronav,0.000,12.000,-15.222,149082,1.3210,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172525Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260715T172508Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260715T172508Z.log,weave,standard,944019
15,pronav,0.000,-12.000,12.879,950648,2.3290,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T172615Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260715T172558Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260715T172558Z.log,weave,standard,797021
