run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-15.343,91422,3.2490,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T175817Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260715T175759Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260715T175759Z.log,weave,standard,601392
1,pronav,0.000,-12.000,14.807,279502,0.9150,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T175905Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260715T175848Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260715T175848Z.log,weave,standard,978171
2,pronav,0.000,12.000,-15.177,944976,3.2630,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180006Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260715T175949Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260715T175949Z.log,weave,standard,478640
3,pronav,0.000,-12.000,15.124,397541,0.9200,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180058Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260715T180041Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260715T180041Z.log,weave,standard,199622
4,pronav,0.000,12.000,-13.891,348335,3.1960,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180154Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260715T180137Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260715T180137Z.log,weave,standard,917239
5,pronav,0.000,-12.000,13.522,54423,1.6970,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180244Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260715T180227Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260715T180227Z.log,weave,standard,222819
6,pronav,0.000,12.000,-15.021,353598,3.2660,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180336Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260715T180319Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260715T180319Z.log,weave,standard,364784
7,pronav,0.000,-12.000,14.183,735776,0.5320,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180431Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260715T180414Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260715T180414Z.log,weave,standard,368635
8,pronav,0.000,12.000,-14.765,1752,3.2220,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180521Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260715T180503Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260715T180503Z.log,weave,standard,327999
9,pronav,0.000,-12.000,15.218,811166,0.5630,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180615Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260715T180557Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260715T180557Z.log,weave,standard,838857
10,pronav,0.000,12.000,-15.237,626629,3.2290,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180703Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260715T180646Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260715T180646Z.log,weave,standard,690884
11,pronav,0.000,-12.000,13.633,6916,0.4760,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180758Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260715T180740Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260715T180740Z.log,weave,standard,832615
12,pronav,0.000,12.000,-14.554,470100,3.2900,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180850Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260715T180832Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260715T180832Z.log,weave,standard,228302
13,pronav,0.000,-12.000,12.806,46020,0.6910,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T180946Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260715T180929Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260715T180929Z.log,weave,standard,148141
14,pronav,0.000,12.000,-15.222,149082,3.2630,1,,,,,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T181051Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260715T181034Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260715T181034Z.log,weave,standard,944019
15,pronav,0.000,-12.000,12.879,950648,0.4620,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T181147Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260715T181129Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260715T181129Z.log,weave,standard,797021
