run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-15.343,91422,1.1600,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T191817Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260715T191758Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260715T191758Z.log,weave,standard,601392
1,pronav,0.000,-12.000,14.807,279502,2.1750,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T191912Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260715T191854Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260715T191854Z.log,weave,standard,978171
2,pronav,0.000,12.000,-15.177,944976,0.9940,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192005Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260715T191948Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260715T191948Z.log,weave,standard,478640
3,pronav,0.000,-12.000,15.124,397541,2.0150,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192102Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260715T192044Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260715T192044Z.log,weave,standard,199622
4,pronav,0.000,12.000,-13.891,348335,1.5840,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192159Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260715T192142Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260715T192142Z.log,weave,standard,917239
5,pronav,0.000,-12.000,13.522,54423,2.0940,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192255Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260715T192238Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260715T192238Z.log,weave,standard,222819
6,pronav,0.000,12.000,-15.021,353598,1.1400,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192349Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260715T192332Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260715T192332Z.log,weave,standard,364784
7,pronav,0.000,-12.000,14.183,735776,2.1970,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192445Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260715T192427Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260715T192427Z.log,weave,standard,368635
8,pronav,0.000,12.000,-14.765,1752,1.2860,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192548Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260715T192530Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260715T192530Z.log,weave,standard,327999
9,pronav,0.000,-12.000,15.218,811166,1.9250,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192704Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260715T192646Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260715T192646Z.log,weave,standard,838857
10,pronav,0.000,12.000,-15.237,626629,1.3240,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192758Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260715T192740Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260715T192740Z.log,weave,standard,690884
11,pronav,0.000,-12.000,13.633,6916,2.2330,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T192938Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260715T192920Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260715T192920Z.log,weave,standard,832615
12,pronav,0.000,12.000,-14.554,470100,1.3270,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T193033Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260715T193016Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260715T193016Z.log,weave,standard,228302
13,pronav,0.000,-12.000,12.806,46020,2.4140,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T193128Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260715T193110Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260715T193110Z.log,weave,standard,148141
14,pronav,0.000,12.000,-15.222,149082,1.2470,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T193221Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260715T193204Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260715T193204Z.log,weave,standard,944019
15,pronav,0.000,-12.000,12.879,950648,2.4110,0,,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260715T193314Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260715T193256Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260715T193256Z.log,weave,standard,797021
