run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pursuit,0.000,6.000,-28.882,26226,0.7020,1,1,2.988,22.004,3.73,0.019,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T020402Z.csv,pursuit_6.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260708T020345Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260708T020345Z.log,line,standard,857665
1,pursuit,0.000,-6.000,30.025,256788,0.7880,1,1,3.385,23.811,4.16,0.049,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T020505Z.csv,pursuit_6.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260708T020447Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260708T020447Z.log,line,standard,778181
2,pursuit,0.000,6.000,-30.130,772247,0.7430,1,1,3.482,21.681,4.30,0.043,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T020614Z.csv,pursuit_6.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260708T020556Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260708T020556Z.log,line,standard,832313
3,pursuit,0.000,-6.000,28.107,776647,0.9300,1,1,3.721,21.623,4.35,0.035,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T020720Z.csv,pursuit_6.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260708T020702Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260708T020702Z.log,line,standard,447246
4,pursuit,0.000,6.000,-28.123,91162,0.8890,1,1,3.444,23.011,4.15,0.019,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T020824Z.csv,pursuit_6.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260708T020807Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260708T020807Z.log,line,standard,791817
5,pursuit,0.000,-6.000,29.571,33327,0.6080,1,1,2.529,22.660,3.26,0.033,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T020932Z.csv,pursuit_6.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260708T020914Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260708T020914Z.log,line,standard,102230
6,pursuit,0.000,6.000,-30.711,229259,0.8090,1,1,2.976,22.819,3.45,0.019,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T021037Z.csv,pursuit_6.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260708T021020Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260708T021020Z.log,line,standard,955711
7,pursuit,0.000,-6.000,28.498,631263,0.7250,1,1,3.340,22.306,3.93,0.045,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T021144Z.csv,pursuit_6.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260708T021126Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260708T021126Z.log,line,standard,325326
8,pronav,0.000,6.000,-30.720,208497,0.7250,1,1,3.278,22.143,6.94,0.049,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T021250Z.csv,pronav_6.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260708T021233Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260708T021233Z.log,line,standard,343059
9,pronav,0.000,-6.000,29.948,735393,0.6860,1,1,2.416,23.132,3.13,0.011,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T021353Z.csv,pronav_6.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260708T021336Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260708T021336Z.log,line,standard,435173
