run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pursuit,0.000,9.000,-28.882,26226,0.9250,1,1,3.276,21.804,5.64,0.039,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T032512Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260708T032455Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260708T032455Z.log,jink,standard,857665
1,pursuit,0.000,-9.000,30.025,256788,1.0440,1,1,4.110,23.593,4.72,0.024,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T032617Z.csv,pursuit_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260708T032559Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260708T032559Z.log,jink,standard,778181
2,pursuit,0.000,9.000,-30.130,772247,1.1640,1,1,3.862,24.043,4.76,0.013,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T032722Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260708T032705Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260708T032705Z.log,jink,standard,832313
3,pursuit,0.000,-9.000,28.107,776647,1.4530,1,1,5.058,22.465,5.65,0.061,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T032827Z.csv,pursuit_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260708T032809Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260708T032809Z.log,jink,standard,447246
4,pursuit,0.000,9.000,-28.123,91162,1.1170,1,1,5.098,21.634,5.74,0.039,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T032927Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260708T032910Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260708T032910Z.log,jink,standard,791817
5,pursuit,0.000,-9.000,29.571,33327,0.8230,1,1,3.695,22.697,4.52,0.046,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T033028Z.csv,pursuit_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260708T033011Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260708T033011Z.log,jink,standard,102230
6,pursuit,0.000,9.000,-30.711,229259,0.9450,1,1,4.388,22.875,5.19,0.026,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T033135Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260708T033118Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260708T033118Z.log,jink,standard,955711
7,pursuit,0.000,-9.000,28.498,631263,1.0780,1,1,4.160,21.806,4.96,0.049,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T033241Z.csv,pursuit_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260708T033223Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260708T033223Z.log,jink,standard,325326
8,pronav,0.000,9.000,-30.720,208497,1.0390,1,1,4.336,21.592,5.20,0.039,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T033342Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260708T033325Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260708T033325Z.log,jink,standard,343059
9,pronav,0.000,-9.000,29.948,735393,0.9110,1,1,3.885,24.258,4.50,0.047,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T033444Z.csv,pronav_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260708T033426Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260708T033426Z.log,jink,standard,435173
