run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,-4.243,4.243,-28.882,26226,0.6820,1,1,9.008,28.290,11.93,0.080,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T034459Z.csv,pronav_6.000,l2r,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260708T034442Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260708T034442Z.log,line,oblique_close,857665
1,pronav,-4.243,-4.243,30.025,256788,0.3810,1,1,8.751,29.339,12.98,0.062,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T034617Z.csv,pronav_6.000,r2l,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260708T034600Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260708T034600Z.log,line,oblique_close,778181
2,pronav,-4.243,4.243,-30.130,772247,0.7630,1,1,8.871,29.837,13.94,0.069,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T034722Z.csv,pronav_6.000,l2r,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260708T034705Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260708T034705Z.log,line,oblique_close,832313
3,pronav,-4.243,-4.243,28.107,776647,0.2710,1,1,8.579,32.837,12.23,0.062,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T034831Z.csv,pronav_6.000,r2l,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260708T034813Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260708T034813Z.log,line,oblique_close,447246
4,pronav,-4.243,4.243,-28.123,91162,0.6030,1,1,8.801,35.100,13.62,0.063,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T034942Z.csv,pronav_6.000,l2r,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260708T034925Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260708T034925Z.log,line,oblique_close,791817
5,pronav,-4.243,-4.243,29.571,33327,0.2980,1,1,9.081,31.615,13.66,0.062,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035057Z.csv,pronav_6.000,r2l,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260708T035040Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260708T035040Z.log,line,oblique_close,102230
6,pronav,-4.243,4.243,-30.711,229259,0.8130,1,1,9.008,33.619,11.74,0.061,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035207Z.csv,pronav_6.000,l2r,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260708T035150Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260708T035150Z.log,line,oblique_close,955711
7,pronav,-4.243,-4.243,28.498,631263,0.3460,1,1,8.684,30.519,12.25,0.064,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035320Z.csv,pronav_6.000,r2l,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260708T035302Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260708T035302Z.log,line,oblique_close,325326
8,pronav,-4.243,4.243,-30.720,208497,0.6490,1,1,8.907,29.495,11.68,0.047,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035425Z.csv,pronav_6.000,l2r,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260708T035407Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260708T035407Z.log,line,oblique_close,343059
9,pronav,-4.243,-4.243,29.948,735393,0.4370,1,1,8.673,28.020,11.68,0.058,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035532Z.csv,pronav_6.000,r2l,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260708T035515Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260708T035515Z.log,line,oblique_close,435173
10,pronav,-4.243,4.243,-29.165,231149,0.3960,1,1,8.960,29.299,13.13,0.064,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035635Z.csv,pronav_6.000,l2r,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260708T035617Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260708T035617Z.log,line,oblique_close,728420
11,pronav,-4.243,-4.243,29.148,291705,0.5410,1,1,8.699,28.663,12.28,0.058,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T035740Z.csv,pronav_6.000,r2l,90.000,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260708T035723Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260708T035723Z.log,line,oblique_close,544317
