run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pursuit,0.000,9.000,-28.882,26226,2.0620,1,1,4.411,23.450,5.00,0.027,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T030521Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260708T030504Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260708T030504Z.log,weave,standard,857665
1,pursuit,0.000,-9.000,30.025,256788,0.7650,0,0,,,,0.000,n/a,/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T030623Z.csv,pursuit_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260708T030606Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260708T030606Z.log,weave,standard,778181
2,pursuit,0.000,9.000,-30.130,772247,2.1700,1,1,4.458,22.551,5.05,0.045,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T030740Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260708T030722Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260708T030722Z.log,weave,standard,832313
3,pursuit,0.000,-9.000,28.107,776647,0.5480,1,1,5.121,23.185,6.03,0.048,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T030842Z.csv,pursuit_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260708T030825Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260708T030825Z.log,weave,standard,447246
4,pursuit,0.000,9.000,-28.123,91162,2.2460,1,1,5.517,21.368,6.32,0.040,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T030944Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260708T030926Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260708T030926Z.log,weave,standard,791817
5,pursuit,0.000,-9.000,29.571,33327,0.8980,0,0,,,,0.000,n/a,/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T031045Z.csv,pursuit_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260708T031028Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260708T031028Z.log,weave,standard,102230
6,pursuit,0.000,9.000,-30.711,229259,2.1950,1,1,4.704,22.478,5.47,0.039,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T031200Z.csv,pursuit_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260708T031143Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260708T031143Z.log,weave,standard,955711
7,pursuit,0.000,-9.000,28.498,631263,0.6720,1,1,4.408,21.929,5.33,0.037,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pursuit_20260708T031304Z.csv,pursuit_9.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260708T031246Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260708T031246Z.log,weave,standard,325326
8,pronav,0.000,9.000,-30.720,208497,2.4590,1,1,4.933,23.544,5.67,0.045,lost detection for >1.0s inside terminal range (5.0 m),/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T031403Z.csv,pronav_9.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260708T031345Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260708T031345Z.log,weave,standard,343059
9,pronav,0.000,-9.000,29.948,735393,0.8830,0,0,,,6.81,0.005,n/a,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260708T031507Z.csv,pronav_9.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260708T031450Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260708T031450Z.log,weave,standard,435173
