run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-29.101,527743,1.9250,0,0,,,13.43,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192123Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T192105Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T192105Z.log,weave,standard,257781
1,pronav,0.000,-12.000,30.748,725301,1.0300,0,1,8.434,27.037,25.15,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192240Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T192222Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T192222Z.log,weave,standard,23114
2,pronav,0.000,12.000,-27.989,681733,2.2520,0,1,4.831,25.488,21.81,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192348Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T192330Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T192330Z.log,weave,standard,230660
3,pronav,0.000,-12.000,29.940,173194,1.0870,1,1,6.635,28.086,22.69,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192450Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T192433Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T192433Z.log,weave,standard,58365
4,pronav,0.000,12.000,-30.785,595607,2.0600,0,0,,,13.55,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192627Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T192610Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T192610Z.log,weave,standard,54010
5,pronav,0.000,-12.000,29.905,208446,0.6890,0,1,8.434,26.672,12.98,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192815Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T192757Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T192757Z.log,weave,standard,964781
6,pronav,0.000,12.000,-28.428,279008,1.7840,0,0,,,12.40,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T192919Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T192901Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T192901Z.log,weave,standard,744319
7,pronav,0.000,-12.000,29.924,566913,0.6490,1,1,7.540,25.474,23.35,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T193040Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T193023Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T193023Z.log,weave,standard,729781
8,pronav,0.000,12.000,-27.891,267047,1.9720,0,0,,,12.77,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T193146Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T193128Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T193128Z.log,weave,standard,687053
9,pronav,0.000,-12.000,28.161,794538,1.7920,0,1,8.580,26.826,22.83,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T193308Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T193250Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T193250Z.log,weave,standard,198326
