run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,4.2450,0,1,0.929,16.088,1.73,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T190627Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T190609Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T190609Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,7.7790,0,1,1.601,14.135,4.63,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T190718Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T190700Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T190700Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.2270,1,1,1.032,15.971,9.30,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T190808Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T190750Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T190750Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,7.9110,0,1,1.675,14.792,0.95,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T190857Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T190839Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T190839Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,1.7550,1,1,1.523,16.660,1.39,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T190947Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T190929Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T190929Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,6.8340,0,1,2.157,15.714,0.84,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T191035Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T191018Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T191018Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.3430,1,1,1.948,22.332,6.76,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T191128Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T191111Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T191111Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,5.4520,0,1,2.464,16.422,1.33,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T191222Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T191204Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T191204Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,4.8230,0,1,2.047,18.013,1.98,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T191322Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T191304Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T191304Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,1.5180,1,1,1.850,16.171,2.15,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T191416Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T191358Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T191358Z.log,weave,standard,435173
