run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.6310,1,1,1.862,19.086,8.37,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195800Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T195742Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T195742Z.log,jink,standard,857665
1,pronav,0.000,-12.000,30.025,256788,1.7370,0,1,1.101,16.034,1.10,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195853Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T195835Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T195835Z.log,jink,standard,778181
2,pronav,0.000,12.000,-30.130,772247,1.7690,1,1,1.339,19.072,6.28,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195944Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T195927Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T195927Z.log,jink,standard,832313
3,pronav,0.000,-12.000,28.107,776647,9.0910,0,1,1.038,14.846,2.10,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T200041Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T200023Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T200023Z.log,jink,standard,447246
4,pronav,0.000,12.000,-28.123,91162,nan,0,,,,,,outer_python_timeout_360s,,pronav_12.000,l2r,6.500,124,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T200111Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T200111Z.log,jink,standard,791817
5,pronav,0.000,-12.000,29.571,33327,1.0280,1,1,1.172,13.931,3.10,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T200751Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T200734Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T200734Z.log,jink,standard,102230
6,pronav,0.000,12.000,-30.711,229259,1.3250,1,1,0.538,17.457,2.21,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T200839Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T200821Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T200821Z.log,jink,standard,955711
7,pronav,0.000,-12.000,28.498,631263,1.3210,1,1,1.572,15.294,4.18,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T200929Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T200911Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T200911Z.log,jink,standard,325326
8,pronav,0.000,12.000,-30.720,208497,4.7010,0,1,2.734,19.381,11.76,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201018Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T201001Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T201001Z.log,jink,standard,343059
9,pronav,0.000,-12.000,29.948,735393,9.4510,0,1,1.739,14.502,0.80,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201113Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T201056Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T201056Z.log,jink,standard,435173
10,pronav,0.000,12.000,-29.165,231149,5.6140,0,1,0.788,17.172,2.18,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201202Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T201144Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T201144Z.log,jink,standard,728420
11,pronav,0.000,-12.000,29.148,291705,0.4900,1,1,0.924,15.808,1.00,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201254Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T201236Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T201236Z.log,jink,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.5560,1,1,0.742,16.501,0.78,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201343Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T201325Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T201325Z.log,jink,standard,91499
13,pronav,0.000,-12.000,30.076,167415,2.0130,1,1,0.956,17.982,0.79,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201435Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T201417Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T201417Z.log,jink,standard,289338
14,pronav,0.000,12.000,-28.706,356779,6.0740,0,1,0.650,16.283,4.87,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201524Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T201507Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T201507Z.log,jink,standard,118488
15,pronav,0.000,-12.000,28.634,225773,2.1030,0,1,0.749,24.037,1.31,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201614Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T201557Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T201557Z.log,jink,standard,377930
