run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.9750,1,1,1.476,16.918,4.40,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194025Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T194007Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T194007Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,3.9080,1,1,0.665,15.883,5.72,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194115Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T194058Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T194058Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.3000,1,1,0.637,16.011,3.06,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194205Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T194148Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T194148Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,3.2940,1,1,1.699,14.791,1.70,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194254Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T194237Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T194237Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,4.6140,0,1,1.022,19.265,1.75,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194345Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T194328Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T194328Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,3.4280,1,1,6.509,27.026,1.04,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194442Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T194425Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T194425Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.3920,1,1,1.722,23.617,0.46,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194543Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T194526Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T194526Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,1.3870,0,0,,,1.30,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194639Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T194622Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T194622Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.5050,0,1,0.510,17.178,42.33,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194743Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T194726Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T194726Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,5.9200,0,1,1.457,14.463,1.42,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194834Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T194816Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T194816Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.9770,1,1,0.889,19.485,0.75,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T194924Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T194906Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T194906Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,9.8620,0,1,1.674,14.572,0.92,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195021Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T195003Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T195003Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,4.5370,0,1,6.607,15.391,9.12,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195109Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T195051Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T195051Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,4.7330,0,1,0.888,14.511,1.35,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195159Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T195142Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T195142Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.2130,1,1,0.496,15.487,2.66,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195249Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T195231Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T195231Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,1.7110,1,1,0.742,15.886,1.27,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T195336Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T195319Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T195319Z.log,weave,standard,377930
