run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.9930,0,0,,,1.05,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T201932Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T201915Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T201915Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,2.1120,0,1,0.998,33.461,2.16,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202037Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T202019Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T202019Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,4.0610,0,0,,,1.92,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202146Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T202128Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T202128Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,2.4860,0,1,0.848,27.256,1.68,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202254Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T202236Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T202236Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.2710,0,0,,,0.50,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202355Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T202338Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T202338Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,1.2950,0,0,,,1.44,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202501Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T202443Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T202443Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.2640,0,0,,,2.80,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202606Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T202548Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T202548Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,2.3890,1,1,3.255,27.809,1.84,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202710Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T202652Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T202652Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.2270,0,0,,,0.85,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202811Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T202753Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T202753Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,1.0350,0,0,,,4.12,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T202914Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T202857Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T202857Z.log,weave,standard,435173
