run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,3.3110,1,1,8.736,14.726,16.09,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215316Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T215258Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T215258Z.log,jink,standard,857665
1,pronav,0.000,-12.000,30.025,256788,4.7970,0,1,9.023,14.433,19.16,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215404Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T215346Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T215346Z.log,jink,standard,778181
2,pronav,0.000,12.000,-30.130,772247,1.9460,1,1,9.895,14.784,12.30,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215452Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T215434Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T215434Z.log,jink,standard,832313
3,pronav,0.000,-12.000,28.107,776647,5.6880,0,1,8.374,22.279,22.37,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215541Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T215523Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T215523Z.log,jink,standard,447246
4,pronav,0.000,12.000,-28.123,91162,nan,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215635Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T215618Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T215618Z.log,jink,standard,791817
5,pronav,0.000,-12.000,29.571,33327,3.1210,1,1,9.378,14.822,21.68,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215717Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T215700Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T215700Z.log,jink,standard,102230
6,pronav,0.000,12.000,-30.711,229259,1.9150,1,1,9.516,15.174,12.11,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215806Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T215748Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T215748Z.log,jink,standard,955711
7,pronav,0.000,-12.000,28.498,631263,3.6910,1,1,8.466,16.230,18.02,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215854Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T215836Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T215836Z.log,jink,standard,325326
8,pronav,0.000,12.000,-30.720,208497,3.3650,1,1,9.769,14.752,13.58,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T215944Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T215926Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T215926Z.log,jink,standard,343059
9,pronav,0.000,-12.000,29.948,735393,5.4120,0,1,8.509,14.369,22.65,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220031Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T220014Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T220014Z.log,jink,standard,435173
10,pronav,0.000,12.000,-29.165,231149,3.0590,1,1,9.889,15.369,15.37,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220119Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T220102Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T220102Z.log,jink,standard,728420
11,pronav,0.000,-12.000,29.148,291705,4.7640,0,1,9.893,15.205,22.81,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220208Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T220150Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T220150Z.log,jink,standard,544317
12,pronav,0.000,12.000,-28.372,6815,3.4650,1,1,9.756,14.712,13.06,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220257Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T220239Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T220239Z.log,jink,standard,91499
13,pronav,0.000,-12.000,30.076,167415,5.6670,0,1,8.895,14.833,23.77,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220345Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T220327Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T220327Z.log,jink,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.0910,1,1,9.306,15.291,13.23,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220433Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T220416Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T220416Z.log,jink,standard,118488
15,pronav,0.000,-12.000,28.634,225773,4.9470,0,1,9.395,15.234,22.12,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T220522Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T220505Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T220505Z.log,jink,standard,377930
