run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.6980,1,1,8.580,18.189,12.76,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212244Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T212226Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T212226Z.log,jink,standard,857665
1,pronav,0.000,-12.000,30.025,256788,1.9000,0,1,5.468,20.426,14.15,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212339Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T212322Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T212322Z.log,jink,standard,778181
2,pronav,0.000,12.000,-30.130,772247,1.8710,0,1,9.215,16.466,12.14,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212434Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T212417Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T212417Z.log,jink,standard,832313
3,pronav,0.000,-12.000,28.107,776647,2.5650,1,1,8.158,17.648,14.64,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212525Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T212507Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T212507Z.log,jink,standard,447246
4,pronav,0.000,12.000,-28.123,91162,1.9700,0,1,9.048,16.852,11.77,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212620Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T212602Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T212602Z.log,jink,standard,791817
5,pronav,0.000,-12.000,29.571,33327,2.0590,1,1,5.720,17.193,14.02,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212712Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T212654Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T212654Z.log,jink,standard,102230
6,pronav,0.000,12.000,-30.711,229259,1.7080,1,1,8.580,18.743,13.82,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212804Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T212746Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T212746Z.log,jink,standard,955711
7,pronav,0.000,-12.000,28.498,631263,2.1380,0,0,,,10.82,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T212908Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T212850Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T212850Z.log,jink,standard,325326
8,pronav,0.000,12.000,-30.720,208497,1.8470,1,1,8.730,17.986,13.49,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213042Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T213024Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T213024Z.log,jink,standard,343059
9,pronav,0.000,-12.000,29.948,735393,1.9900,0,1,6.463,18.469,12.44,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213135Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T213117Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T213117Z.log,jink,standard,435173
10,pronav,0.000,12.000,-29.165,231149,2.1240,1,1,8.026,19.340,11.94,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213228Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T213211Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T213211Z.log,jink,standard,728420
11,pronav,0.000,-12.000,29.148,291705,2.2020,0,1,9.952,19.400,13.45,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213323Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T213306Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T213306Z.log,jink,standard,544317
12,pronav,0.000,12.000,-28.372,6815,1.8460,1,1,7.009,17.398,16.05,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213418Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T213400Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T213400Z.log,jink,standard,91499
13,pronav,0.000,-12.000,30.076,167415,2.2980,1,1,9.570,16.582,12.85,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213510Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T213452Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T213452Z.log,jink,standard,289338
14,pronav,0.000,12.000,-28.706,356779,1.9650,0,1,7.962,16.242,11.31,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213601Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T213543Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T213543Z.log,jink,standard,118488
15,pronav,0.000,-12.000,28.634,225773,2.3080,1,1,5.854,15.700,13.82,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T213651Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T213634Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T213634Z.log,jink,standard,377930
