run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.9110,1,1,9.389,32.802,12.44,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T210512Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T210454Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T210454Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,1.2720,0,1,7.427,18.379,16.05,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T210617Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T210559Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T210559Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.3920,1,1,2.336,18.758,13.82,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T210710Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T210653Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T210653Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,2.3970,1,1,9.757,17.591,22.99,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T210804Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T210746Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T210746Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.2190,1,1,2.893,16.977,14.40,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T210856Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T210839Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T210839Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,1.5490,0,1,8.158,17.354,14.14,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T210948Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T210930Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T210930Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.2060,0,1,8.294,17.718,14.64,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211040Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T211023Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T211023Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,2.4310,0,1,9.757,17.589,14.69,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211132Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T211114Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T211114Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.2800,1,1,7.009,15.318,12.76,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211224Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T211206Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T211206Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,1.1550,0,1,9.757,16.160,14.31,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211313Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T211255Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T211255Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.8290,0,0,,,15.55,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211402Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T211345Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T211345Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,1.7090,1,1,9.048,17.504,14.22,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211505Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T211447Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T211447Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.0600,1,1,2.370,18.896,12.76,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211558Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T211540Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T211540Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,1.4570,0,1,6.380,19.048,14.69,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211651Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T211633Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T211633Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.2410,1,1,9.215,14.777,9.95,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211744Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T211726Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T211726Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,2.9080,0,1,8.026,16.640,21.64,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T211833Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T211815Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T211815Z.log,weave,standard,377930
