run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,1.3550,0,1,9.757,24.548,14.89,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T171742Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T171724Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T171724Z.log,jink,standard,857665
1,pronav,0.000,-12.000,30.025,256788,1.7410,1,1,1.803,28.431,15.01,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T171846Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T171829Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T171829Z.log,jink,standard,778181
2,pronav,0.000,12.000,-30.130,772247,1.3620,1,1,9.570,27.279,14.22,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T171956Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T171938Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T171938Z.log,jink,standard,832313
3,pronav,0.000,-12.000,28.107,776647,2.2800,0,1,9.048,25.165,13.91,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172106Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T172049Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T172049Z.log,jink,standard,447246
4,pronav,0.000,12.000,-28.123,91162,1.5350,1,1,9.048,26.330,14.22,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172209Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T172151Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T172151Z.log,jink,standard,791817
5,pronav,0.000,-12.000,29.571,33327,1.2100,1,1,7.427,26.789,24.43,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172317Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T172259Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T172259Z.log,jink,standard,102230
6,pronav,0.000,12.000,-30.711,229259,1.1910,0,0,,,14.28,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172453Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T172436Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T172436Z.log,jink,standard,955711
7,pronav,0.000,-12.000,28.498,631263,1.6940,0,1,9.215,26.492,15.32,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172619Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T172602Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T172602Z.log,jink,standard,325326
8,pronav,0.000,12.000,-30.720,208497,1.2230,1,1,9.215,24.508,13.75,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172724Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T172706Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T172706Z.log,jink,standard,343059
9,pronav,0.000,-12.000,29.948,735393,1.5300,1,1,6.911,26.759,22.71,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172833Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T172815Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T172815Z.log,jink,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.1900,1,1,1.503,28.623,15.24,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T172940Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T172922Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T172922Z.log,jink,standard,728420
11,pronav,0.000,-12.000,29.148,291705,1.7190,0,1,9.048,26.374,22.78,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T173049Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260710T173032Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260710T173032Z.log,jink,standard,544317
12,pronav,0.000,12.000,-28.372,6815,1.1660,0,0,,,11.57,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T173215Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260710T173157Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260710T173157Z.log,jink,standard,91499
13,pronav,0.000,-12.000,30.076,167415,1.7290,1,1,9.570,25.905,14.13,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T173347Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260710T173329Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260710T173329Z.log,jink,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.0600,1,1,8.886,25.779,28.07,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T173453Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260710T173435Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260710T173435Z.log,jink,standard,118488
