run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,2.2580,1,1,6.725,25.437,13.45,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T232337Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T232320Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T232320Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,1.0910,1,1,7.540,26.649,15.46,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T232447Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T232429Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T232429Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.4800,1,1,8.158,27.175,12.44,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T232556Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T232538Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T232538Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,2.0860,1,1,7.109,30.599,13.10,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T232706Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T232648Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T232648Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.1800,1,1,2.565,27.390,12.46,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T232818Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T232801Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T232801Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,1.4080,0,1,7.427,26.713,21.98,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T232931Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T232913Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T232913Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.3160,1,1,9.757,28.675,13.47,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233036Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T233018Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T233018Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,1.9760,1,1,8.158,27.239,14.39,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233147Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T233129Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T233129Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.3340,0,1,9.389,27.160,15.50,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233256Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T233239Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T233239Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,1.2280,0,1,9.048,25.351,15.58,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233404Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T233346Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T233346Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,2.1400,0,0,,,12.52,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233510Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T233452Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T233452Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,1.8120,0,1,9.215,24.963,23.04,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233630Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T233613Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T233613Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.1580,0,0,,,14.19,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233734Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T233716Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T233716Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,1.1720,1,1,9.757,26.393,15.68,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233852Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T233835Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T233835Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.1970,1,1,6.635,25.639,13.45,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T233958Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T233940Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T233940Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,1.4490,0,1,8.294,29.308,14.32,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260709T234106Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T234048Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T234048Z.log,weave,standard,377930
