model,mode,n_images,n_gt_boxes,ap50,precision@25,recall@25,f1@25,neg_images,false_fire_rate@25,latency_ms_mean,wall_s
v2_deployed,color,350,200,0.0017,0.0023,0.005,0.0032,150,0.6667,33.4,12.3
v2_deployed,gray,350,200,0.0008,0.0056,0.03,0.0094,150,0.9667,29.6,11.0
quad_hardened,color,350,200,0.0,0.0,0.0,0.0,150,0.12,28.3,10.4
quad_hardened,gray,350,200,0.0,0.0,0.0,0.0,150,0.0067,28.3,10.5
quad_rebal,color,350,200,0.0,0.0,0.0,0.0,150,0.3267,27.9,10.3
quad_rebal,gray,350,200,0.0,0.0,0.0,0.0,150,0.04,27.5,10.2
yolo11x_mit,color,350,200,0.4282,0.3974,0.61,0.4813,150,0.4133,1759.2,616.7
yolo11x_mit,gray,350,200,0.2076,0.2201,0.46,0.2977,150,0.62,1816.7,636.8
flyingobj_mit,color,350,200,0.0,0.0,0.0,0.0,150,0.0333,717.8,251.8
flyingobj_mit,gray,350,200,0.0,0.0,0.0,0.0,150,0.0267,710.1,249.2
