dataset,frame,gt_range,gbearing_deg,n_boxes,n_target_boxes,n_phantom_boxes,any_hit,top1_raw_hit,deployed_hit,target_hit_rank,loss_reason,score_margin_phantom_minus_target
quad_r2l_flight_capture,r1_000240_r010.7_pos,10.7,+2.6,26,7,19,1,1,1,1,,
quad_r2l_flight_capture,r1_000241_r009.3_pos,9.3,+0.4,18,9,9,1,1,1,1,,
quad_r2l_flight_capture,r1_000242_r008.2_pos,8.2,-2.9,27,11,16,1,1,1,1,,
quad_r2l_flight_capture,r2_000241_r010.9_pos,10.9,+3.9,17,9,8,1,1,1,1,,
quad_r2l_flight_capture,r2_000242_r009.7_pos,9.7,+1.3,9,0,9,0,0,0,,,
quad_r2l_flight_capture,r2_000243_r008.3_pos,8.3,-0.5,3,0,3,0,0,0,,,
quad_r2l_flight_capture,r3_000265_r011.6_pos,11.6,-9.1,12,5,7,1,1,1,1,,
quad_r2l_flight_capture,r3_000266_r009.8_pos,9.8,-5.8,11,10,1,1,1,1,1,,
quad_r2l_flight_capture,r3_000267_r008.5_pos,8.5,-3.8,18,9,9,1,1,1,1,,
quad_r2l_flight_capture,r4_000241_r011.9_pos,11.9,+1.4,29,9,20,1,1,1,1,,
quad_r2l_flight_capture,r4_000242_r010.6_pos,10.6,-0.9,19,9,10,1,1,1,1,,
quad_r2l_flight_capture,r4_000243_r009.2_pos,9.2,-2.9,28,10,18,1,0,1,2,,
quad_r2l_flight_capture,r5_000252_r011.4_pos,11.4,+1.4,22,8,14,1,1,1,1,,
quad_r2l_flight_capture,r5_000253_r010.1_pos,10.1,-0.4,23,10,13,1,1,1,1,,
quad_r2l_flight_capture,r5_000254_r009.0_pos,9.0,-2.1,27,10,17,1,0,1,3,,
quad_r2l_flight_capture,r6_000246_r011.8_pos,11.8,+15.5,29,9,20,1,1,1,1,,
quad_r2l_flight_capture,r6_000247_r010.7_pos,10.7,+13.7,28,10,18,1,1,1,1,,
quad_r2l_flight_capture,r6_000248_r009.4_pos,9.4,+12.2,34,10,24,1,1,1,1,,
quad_r2l_flight_capture,r6_000249_r008.3_pos,8.3,+10.4,32,7,25,1,0,0,3,phantom_outscores,0.008
v3_flight_eval,evalv3_01_000158_r012.0_pos,12.0,-3.2,8,0,8,0,0,0,,,
v3_flight_eval,evalv3_01_000159_r010.4_pos,10.4,-4.0,8,3,5,1,0,1,2,,
v3_flight_eval,evalv3_01_000160_r008.1_pos,8.1,-11.1,13,5,8,1,0,1,6,,
v3_flight_eval,evalv3_02_000153_r011.6_pos,11.6,+15.0,18,10,8,1,1,1,1,,
v3_flight_eval,evalv3_02_000154_r009.8_pos,9.8,+10.9,11,9,2,1,1,1,1,,
v3_flight_eval,evalv3_03_000160_r011.2_pos,11.2,-5.2,3,0,3,0,0,0,,,
v3_flight_eval,evalv3_03_000161_r009.1_pos,9.1,-3.1,7,0,7,0,0,0,,,
v3_flight_eval,evalv3_04_000160_r010.5_pos,10.5,+18.0,15,10,5,1,1,1,1,,
v3_flight_eval,evalv3_04_000161_r008.4_pos,8.4,+16.6,22,10,12,1,1,1,1,,
v3_flight_eval,evalv3_05_000168_r010.6_pos,10.6,-8.4,7,3,4,1,0,0,2,phantom_outscores,0.179
v3_flight_eval,evalv3_05_000169_r008.6_pos,8.6,-14.0,7,0,7,0,0,0,,,
v3_flight_eval,evalv3_06_000159_r010.3_pos,10.3,+12.3,14,10,4,1,1,1,1,,
v3_flight_eval,evalv3_06_000160_r008.5_pos,8.5,+12.5,12,11,1,1,1,1,1,,
v3_flight_eval,evalv3_07_000158_r010.4_pos,10.4,-6.7,10,2,8,1,0,1,9,,
v3_flight_eval,evalv3_07_000159_r008.6_pos,8.6,-5.2,17,6,11,1,0,0,10,phantom_outscores,0.091
v3_flight_eval,evalv3_08_000171_r010.6_pos,10.6,+3.0,18,10,8,1,1,1,1,,
v3_flight_eval,evalv3_08_000172_r008.9_pos,8.9,+2.8,29,2,27,1,0,0,5,phantom_outscores,0.068
v3_flight_eval,evalv3_09_000160_r011.5_pos,11.5,-5.8,11,10,1,1,1,1,1,,
v3_flight_eval,evalv3_09_000161_r009.7_pos,9.7,+0.7,10,8,2,1,1,1,1,,
v3_flight_eval,evalv3_10_000159_r010.7_pos,10.7,+7.0,10,7,3,1,1,1,1,,
v3_flight_eval,evalv3_10_000160_r009.1_pos,9.1,+13.9,17,7,10,1,1,1,1,,
quad_canonical_r2l_capture,c4_000243_r009.4_pos,9.4,+28.4,10,0,10,0,0,0,,,
quad_canonical_r2l_capture,c4_000244_r008.8_pos,8.8,+37.3,13,0,13,0,0,0,,,
quad_canonical_r2l_capture,c4_000245_r008.2_pos,8.2,+47.6,25,9,16,1,1,0,1,self_mask_rejects_target,-0.220
