dataset,frame,gt_range,gbearing_deg,n_boxes,n_target_boxes,n_phantom_boxes,any_hit,top1_raw_hit,deployed_hit,target_hit_rank,loss_reason,score_margin_phantom_minus_target
quad_r2l_flight_capture,r1_000236_r015.6_pos,15.6,+6.5,21,5,16,1,1,1,1,,
quad_r2l_flight_capture,r1_000237_r014.4_pos,14.4,+7.0,25,6,19,1,0,1,6,,
quad_r2l_flight_capture,r1_000238_r013.4_pos,13.4,+5.8,25,6,19,1,0,1,3,,
quad_r2l_flight_capture,r1_000239_r012.1_pos,12.1,+4.6,17,4,13,1,1,1,1,,
quad_r2l_flight_capture,r1_000240_r010.7_pos,10.7,+2.6,26,7,19,1,1,1,1,,
quad_r2l_flight_capture,r1_000241_r009.3_pos,9.3,+0.4,18,9,9,1,1,1,1,,
quad_r2l_flight_capture,r1_000242_r008.2_pos,8.2,-2.9,27,11,16,1,1,1,1,,
quad_r2l_flight_capture,r1_000243_r006.8_pos,6.8,-4.9,15,9,6,1,1,1,1,,
quad_r2l_flight_capture,r2_000238_r014.7_pos,14.7,+9.4,22,9,13,1,1,1,1,,
quad_r2l_flight_capture,r2_000239_r013.6_pos,13.6,+8.0,15,5,10,1,1,1,1,,
quad_r2l_flight_capture,r2_000240_r012.2_pos,12.2,+5.9,11,6,5,1,1,1,1,,
quad_r2l_flight_capture,r2_000241_r010.9_pos,10.9,+3.9,17,9,8,1,1,1,1,,
quad_r2l_flight_capture,r2_000242_r009.7_pos,9.7,+1.3,9,0,9,0,0,0,,,
quad_r2l_flight_capture,r2_000243_r008.3_pos,8.3,-0.5,3,0,3,0,0,0,,,
quad_r2l_flight_capture,r2_000244_r006.9_pos,6.9,-1.4,9,7,2,1,1,1,1,,
quad_r2l_flight_capture,r3_000263_r014.3_pos,14.3,-15.8,16,0,16,0,0,0,,,
quad_r2l_flight_capture,r3_000264_r012.8_pos,12.8,-11.8,10,0,10,0,0,0,,,
quad_r2l_flight_capture,r3_000265_r011.6_pos,11.6,-9.1,12,5,7,1,1,1,1,,
quad_r2l_flight_capture,r3_000266_r009.8_pos,9.8,-5.8,11,10,1,1,1,1,1,,
quad_r2l_flight_capture,r3_000267_r008.5_pos,8.5,-3.8,18,9,9,1,1,1,1,,
quad_r2l_flight_capture,r3_000268_r006.8_pos,6.8,-2.6,18,0,18,0,0,0,,,
quad_r2l_flight_capture,r4_000238_r015.6_pos,15.6,+6.4,24,6,18,1,0,1,7,,
quad_r2l_flight_capture,r4_000239_r014.3_pos,14.3,+5.7,34,9,25,1,1,1,1,,
quad_r2l_flight_capture,r4_000240_r013.0_pos,13.0,+3.9,26,9,17,1,1,1,1,,
quad_r2l_flight_capture,r4_000241_r011.9_pos,11.9,+1.4,29,9,20,1,1,1,1,,
quad_r2l_flight_capture,r4_000242_r010.6_pos,10.6,-0.9,19,9,10,1,1,1,1,,
