t_s,temp_c,throttled_hex,arm_hz
1.99,47.4,0x0,2400020480
4.0,50.15,0x0,2400023808
6.02,50.7,0x0,2400030464
8.03,50.7,0x0,2400020480
10.03,50.15,0x0,2400033792
12.04,50.7,0x0,1900026112
14.05,50.15,0x0,2400037120
16.05,51.25,0x0,2400033792
18.05,50.15,0x0,1900026112
20.07,50.7,0x0,2400020480
22.08,51.8,0x0,2400027136
24.09,50.7,0x0,1900022784
26.1,51.25,0x0,2400033792
28.12,51.25,0x0,2400020480
30.12,51.8,0x0,2400017408
32.12,50.15,0x0,1900019584
34.12,51.25,0x0,1900026112
36.14,50.7,0x0,1900022784
38.14,49.6,0x0,1900016256
40.15,50.7,0x0,2400017408
42.17,50.7,0x0,2400033792
44.17,50.15,0x0,1900019584
46.19,50.15,0x0,1900012928
48.2,50.15,0x0,2400033792
50.2,50.15,0x0,2400020480
52.2,50.15,0x0,1900022784
54.22,51.25,0x0,2400027136
56.22,50.7,0x0,2400017408
58.22,51.25,0x0,1900022784
60.24,50.15,0x0,1900016256
62.25,50.7,0x0,1900012928
64.27,50.7,0x0,1900029440
66.28,50.7,0x0,2400020480
68.28,51.25,0x0,2400027136
70.29,50.15,0x0,1900022784
72.29,50.15,0x0,1900016256
74.3,50.7,0x0,1900016256
76.3,50.15,0x0,1900029440
78.32,49.6,0x0,1900029440
80.34,49.6,0x0,1900022784
82.34,50.7,0x0,1900019584
84.34,49.05,0x0,1900016256
86.35,51.25,0x0,2400020480
88.35,50.7,0x0,2400020480
90.35,50.7,0x0,1900019584
92.35,49.6,0x0,1900019584
94.37,50.15,0x0,1900026112
96.37,50.7,0x0,1900016256
98.38,50.7,0x0,2400017408
100.38,50.15,0x0,2400033792
102.4,51.25,0x0,2400027136
104.4,49.6,0x0,1900022784
106.42,50.15,0x0,2400017408
108.43,50.15,0x0,2400030464
110.45,51.8,0x0,2400037120
112.45,49.6,0x0,1900029440
114.47,50.15,0x0,1900026112
116.49,50.7,0x0,1900029440
118.5,50.15,0x0,2400020480
120.5,50.7,0x0,2400027136
122.52,50.15,0x0,2400030464
124.53,50.7,0x0,2400023808
126.53,50.15,0x0,2400030464
128.54,50.7,0x0,1900016256
130.55,50.7,0x0,1900016256
132.57,50.15,0x0,1900022784
134.58,49.6,0x0,2400027136
136.58,51.8,0x0,2400027136
138.59,50.7,0x0,1900012928
140.59,50.15,0x0,1900019584
142.59,50.15,0x0,1900026112
144.59,49.6,0x0,1900016256
146.6,49.6,0x0,1900022784
148.62,51.25,0x0,2400023808
150.63,50.15,0x0,2400027136
152.64,50.15,0x0,1900016256
154.65,50.15,0x0,1900026112
156.67,50.7,0x0,2400033792
158.67,50.7,0x0,2400027136
160.68,50.7,0x0,2400020480
162.69,50.15,0x0,1900019584
164.7,50.15,0x0,1900026112
166.72,50.7,0x0,2400030464
168.72,50.15,0x0,2400033792
170.72,50.15,0x0,1900026112
172.74,50.15,0x0,1900026112
174.75,50.15,0x0,1900019584
176.77,51.25,0x0,2400023808
178.78,50.15,0x0,2400033792
180.78,49.6,0x0,1900026112
182.8,50.15,0x0,2400023808
184.82,50.7,0x0,2400033792
186.82,51.8,0x0,2400030464
188.82,50.15,0x0,1900022784
190.83,49.6,0x0,2400020480
192.83,51.8,0x0,2400020480
194.83,50.15,0x0,1900022784
196.85,50.7,0x0,2400033792
198.87,50.7,0x0,2400030464
200.87,50.15,0x0,1900016256
202.87,50.7,0x0,1900029440
204.87,49.05,0x0,1900026112
206.88,51.25,0x0,1900019584
208.9,50.7,0x0,2400020480
210.9,50.15,0x0,2400020480
212.9,49.6,0x0,1900019584
214.92,49.6,0x0,1900022784
216.92,49.05,0x0,1900019584
218.93,50.15,0x0,1900029440
220.95,50.7,0x0,2400023808
222.97,51.25,0x0,2400030464
224.97,50.7,0x0,1800018688
226.98,51.25,0x0,2400023808
229.0,50.7,0x0,2400020480
231.02,51.8,0x0,2400033792
233.02,49.6,0x0,1900022784
235.03,50.15,0x0,2400030464
237.05,50.15,0x0,2400027136
239.07,51.25,0x0,2400037120
241.07,50.7,0x0,2400020480
243.08,51.25,0x0,2400030464
245.08,50.7,0x0,1900019584
247.1,50.15,0x0,2400023808
249.1,50.7,0x0,2400037120
251.12,51.25,0x0,2400017408
253.12,49.6,0x0,1900029440
255.13,50.15,0x0,1900016256
257.15,50.7,0x0,2400033792
259.15,51.25,0x0,2400027136
261.17,50.7,0x0,2400027136
263.17,49.6,0x0,1900016256
265.18,50.15,0x0,2400033792
267.18,50.15,0x0,2400023808
269.2,51.25,0x0,2400030464
271.2,50.7,0x0,1900029440
273.2,50.15,0x0,1900019584
275.22,50.15,0x0,2400020480
277.22,50.7,0x0,2400017408
279.22,49.6,0x0,1900029440
281.23,50.15,0x0,1900016256
283.25,50.15,0x0,1900016256
285.27,50.7,0x0,2400017408
287.27,50.7,0x0,2400027136
289.28,51.25,0x0,2400027136
291.28,51.25,0x0,2400033792
293.28,50.7,0x0,2400027136
295.3,51.25,0x0,1800015360
297.32,50.7,0x0,1900026112
299.33,50.7,0x0,2400030464
301.35,49.6,0x0,2400020480
303.37,51.25,0x0,2400030464
305.38,51.8,0x0,2400020480
307.4,51.25,0x0,2400027136
309.4,51.25,0x0,1800015360
311.42,50.15,0x0,2400017408
313.42,51.25,0x0,2400027136
315.43,50.7,0x0,2400027136
317.43,51.25,0x0,2400037120
319.45,50.15,0x0,2400030464
321.45,49.6,0x0,1900029440
323.47,50.15,0x0,2400033792
325.48,50.15,0x0,2400033792
327.48,49.05,0x0,1900026112
329.5,50.7,0x0,2400020480
331.5,50.7,0x0,2400027136
333.5,50.15,0x0,2400030464
335.5,50.7,0x0,1900019584
337.52,50.7,0x0,2400020480
339.52,51.8,0x0,2400030464
341.52,50.7,0x0,1900022784
343.53,50.7,0x0,2400030464
345.55,50.7,0x0,2400020480
347.57,50.7,0x0,2400033792
349.57,51.25,0x0,2400027136
351.58,51.25,0x0,2400037120
353.58,50.7,0x0,1900026112
355.6,50.15,0x0,2400020480
357.62,50.15,0x0,2400027136
359.62,50.7,0x0,1800022016
361.63,50.15,0x0,1900029440
363.63,50.15,0x0,1900022784
365.63,50.15,0x0,1900029440
367.65,50.15,0x0,1900026112
369.65,50.15,0x0,1900022784
371.67,49.6,0x0,1900019584
373.68,49.6,0x0,1900016256
375.7,51.25,0x0,2400030464
377.72,50.7,0x0,2400020480
379.72,51.25,0x0,1900016256
381.72,50.7,0x0,1900016256
383.73,49.05,0x0,1900016256
