t_s,temp_c,throttled_hex,arm_hz
2.05,49.6,0x0,2400023808
4.14,56.2,0x0,2400020480
6.25,58.4,0x0,2400033792
8.36,58.4,0x0,2400020480
10.45,60.6,0x0,2400020480
12.58,60.6,0x0,2400020480
14.73,61.15,0x0,2400027136
16.86,61.15,0x0,2400030464
18.88,62.25,0x0,2400027136
21.0,60.6,0x0,2400020480
23.11,61.15,0x0,2400020480
25.23,61.15,0x0,2400030464
27.35,61.7,0x0,2400037120
29.48,62.25,0x0,2400020480
31.62,62.25,0x0,2400037120
33.76,62.25,0x0,2400020480
35.78,62.25,0x0,2400027136
37.92,62.8,0x0,2400030464
40.02,61.7,0x0,2400027136
42.14,61.7,0x0,2400030464
44.14,62.8,0x0,2400017408
46.14,62.8,0x0,2400027136
48.27,62.25,0x0,2400033792
50.42,63.35,0x0,2400027136
52.47,62.25,0x0,2400027136
54.51,62.8,0x0,2400017408
56.52,62.25,0x0,2400033792
58.63,62.8,0x0,2400030464
60.66,63.35,0x0,2400017408
62.8,63.35,0x0,2400020480
64.8,62.25,0x0,2400020480
66.83,63.9,0x0,2400030464
68.85,62.8,0x0,2400020480
70.88,62.8,0x0,2400033792
73.04,63.9,0x0,2400020480
75.06,62.8,0x0,2400030464
77.08,62.8,0x0,2400033792
79.08,63.35,0x0,2400020480
81.12,63.35,0x0,2400033792
83.27,62.25,0x0,2400033792
85.28,63.9,0x0,2400027136
87.4,63.35,0x0,2400033792
89.54,63.35,0x0,2400030464
91.64,62.25,0x0,2400030464
93.73,62.25,0x0,2400023808
95.85,62.8,0x0,2400020480
97.93,63.35,0x0,2400020480
99.93,62.8,0x0,2400037120
101.96,62.8,0x0,2400027136
103.96,63.9,0x0,2400030464
106.09,63.9,0x0,2400027136
108.26,62.8,0x0,2400033792
110.27,62.8,0x0,2400030464
112.38,63.35,0x0,2400030464
114.51,63.9,0x0,2400020480
116.62,62.8,0x0,2400030464
118.63,63.9,0x0,2400017408
120.64,63.35,0x0,2400027136
122.75,63.35,0x0,2400020480
124.75,63.9,0x0,2400027136
126.9,62.25,0x0,2400030464
129.03,63.9,0x0,2400023808
131.17,62.8,0x0,2400027136
