segment,label,media,frame,model,n_det_drone,top_drone_score,n_det_anyclass,top_any_score,top_any_class,top_cx,top_cy,top_w,top_h
neg_bird,none,image,neg_bird_00.png,v2_deployed,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_00.png,flyingobj,13,0.5484,13,0.5484,Drone,368.0,979.5,18.7,12.8
neg_bird,none,image,neg_bird_00.png,yolo11x,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_01.png,v2_deployed,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_01.png,flyingobj,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_01.png,yolo11x,11,0.6697,11,0.6697,drone,653.5,1603.3,541.9,197.2
neg_bird,none,image,neg_bird_02.png,v2_deployed,16,0.7769,16,0.7769,drone,2405.7,3406.0,579.5,580.5
neg_bird,none,image,neg_bird_02.png,flyingobj,0,0.0,7,0.5942,Bird,,,,
neg_bird,none,image,neg_bird_02.png,yolo11x,4,0.3178,4,0.3178,drone,1810.9,1966.6,1816.8,1090.7
neg_bird,none,image,neg_bird_03.png,v2_deployed,2,0.3278,2,0.3278,drone,1550.6,1297.2,389.1,494.2
neg_bird,none,image,neg_bird_03.png,flyingobj,0,0.0,10,0.5417,Airplane,,,,
neg_bird,none,image,neg_bird_03.png,yolo11x,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_04.png,v2_deployed,4,0.2879,4,0.2879,drone,4254.3,3198.2,1061.9,1352.3
neg_bird,none,image,neg_bird_04.png,flyingobj,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_04.png,yolo11x,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_05.png,v2_deployed,0,0.0,0,0.0,,,,,
neg_bird,none,image,neg_bird_05.png,flyingobj,0,0.0,2,0.4217,Background,,,,
neg_bird,none,image,neg_bird_05.png,yolo11x,3,0.352,3,0.352,drone,655.5,492.1,481.2,840.6
neg_ground,none,image,neg_ground_00.png,v2_deployed,28,0.5429,28,0.5429,drone,1282.7,808.1,1553.8,1588.4
neg_ground,none,image,neg_ground_00.png,flyingobj,0,0.0,59,0.5887,Airplane,,,,
neg_ground,none,image,neg_ground_00.png,yolo11x,12,0.5662,12,0.5662,drone,655.6,1236.9,293.4,126.4
neg_ground,none,image,neg_ground_01.png,v2_deployed,6,0.4781,6,0.4781,drone,3213.4,757.1,1572.0,1548.6
neg_ground,none,image,neg_ground_01.png,flyingobj,0,0.0,21,0.4426,Airplane,,,,
neg_ground,none,image,neg_ground_01.png,yolo11x,5,0.4061,5,0.4061,drone,3158.3,323.6,384.6,236.7
neg_ground,none,image,neg_ground_02.png,v2_deployed,6,0.3141,6,0.3141,drone,5996.3,4326.5,1394.3,1942.0
neg_ground,none,image,neg_ground_02.png,flyingobj,0,0.0,47,0.5238,Airplane,,,,
neg_ground,none,image,neg_ground_02.png,yolo11x,2,0.2742,2,0.2742,drone,5258.5,240.8,296.1,321.5
neg_seagull,none,image,neg_seagull_00.png,v2_deployed,0,0.0,0,0.0,,,,,
neg_seagull,none,image,neg_seagull_00.png,flyingobj,0,0.0,4,0.4553,Airplane,,,,
neg_seagull,none,image,neg_seagull_00.png,yolo11x,0,0.0,0,0.0,,,,,
neg_seagull,none,image,neg_seagull_01.png,v2_deployed,9,0.3792,9,0.3792,drone,4144.6,1102.9,1057.5,1323.3
neg_seagull,none,image,neg_seagull_01.png,flyingobj,0,0.0,3,0.4566,Helicopter,,,,
neg_seagull,none,image,neg_seagull_01.png,yolo11x,0,0.0,0,0.0,,,,,
neg_seagull,none,image,neg_seagull_02.png,v2_deployed,0,0.0,0,0.0,,,,,
neg_seagull,none,image,neg_seagull_02.png,flyingobj,3,0.5191,10,0.5191,Drone,388.5,596.9,19.8,9.7
neg_seagull,none,image,neg_seagull_02.png,yolo11x,0,0.0,0,0.0,,,,,
neg_seagull,none,image,neg_seagull_03.png,v2_deployed,25,0.5785,25,0.5785,drone,1521.7,405.5,435.7,412.4
neg_seagull,none,image,neg_seagull_03.png,flyingobj,0,0.0,3,0.2964,Airplane,,,,
neg_seagull,none,image,neg_seagull_03.png,yolo11x,5,0.3764,5,0.3764,drone,1101.1,1121.4,859.0,741.7
neg_sky,none,image,neg_sky_00.png,v2_deployed,7,0.3677,7,0.3677,drone,5540.7,2711.0,1353.7,1686.0
neg_sky,none,image,neg_sky_00.png,flyingobj,0,0.0,0,0.0,,,,,
neg_sky,none,image,neg_sky_00.png,yolo11x,13,0.5821,13,0.5821,drone,4669.1,2410.4,3111.7,1266.8
neg_sky,none,image,neg_sky_01.png,v2_deployed,6,0.351,6,0.351,drone,4857.0,1498.5,1044.6,1514.7
neg_sky,none,image,neg_sky_01.png,flyingobj,0,0.0,12,0.396,Airplane,,,,
neg_sky,none,image,neg_sky_01.png,yolo11x,1,0.2537,1,0.2537,drone,3694.2,2790.4,2562.6,971.9
neg_sky,none,image,neg_sky_02.png,v2_deployed,5,0.3968,5,0.3968,drone,3620.0,2163.0,877.1,1070.4
neg_sky,none,image,neg_sky_02.png,flyingobj,0,0.0,39,0.3702,Airplane,,,,
neg_sky,none,image,neg_sky_02.png,yolo11x,3,0.308,3,0.308,drone,2470.2,3283.0,1180.9,435.4
neg_sky,none,image,neg_sky_03.png,v2_deployed,0,0.0,0,0.0,,,,,
neg_sky,none,image,neg_sky_03.png,flyingobj,0,0.0,2,0.3321,Airplane,,,,
neg_sky,none,image,neg_sky_03.png,yolo11x,2,0.3234,2,0.3234,drone,4502.9,2827.6,2986.5,960.8
pos_photo_dji,drone,image,pos_photo_dji_00.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_photo_dji,drone,image,pos_photo_dji_00.png,flyingobj,0,0.0,57,0.5755,Airplane,,,,
pos_photo_dji,drone,image,pos_photo_dji_00.png,yolo11x,0,0.0,0,0.0,,,,,
pos_photo_dji,drone,image,pos_photo_dji_01.png,v2_deployed,2,0.3962,2,0.3962,drone,3867.6,2719.4,706.1,1149.5
pos_photo_dji,drone,image,pos_photo_dji_01.png,flyingobj,2,0.2822,24,0.6769,Airplane,387.2,41.5,76.5,46.8
pos_photo_dji,drone,image,pos_photo_dji_01.png,yolo11x,10,0.5794,10,0.5794,drone,2335.4,1251.2,2107.9,1413.2
pos_photo_dji,drone,image,pos_photo_dji_02.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_photo_dji,drone,image,pos_photo_dji_02.png,flyingobj,0,0.0,1,0.2677,Airplane,,,,
pos_photo_dji,drone,image,pos_photo_dji_02.png,yolo11x,8,0.7173,8,0.7173,drone,2292.4,1652.5,2361.7,1958.2
pos_photo_dji,drone,image,pos_photo_dji_03.png,v2_deployed,4,0.5341,4,0.5341,drone,2490.6,2527.2,1322.5,1347.1
pos_photo_dji,drone,image,pos_photo_dji_03.png,flyingobj,0,0.0,10,0.448,Airplane,,,,
pos_photo_dji,drone,image,pos_photo_dji_03.png,yolo11x,12,0.6457,12,0.6457,drone,2952.2,1833.6,2770.1,1337.9
pos_photo_sky,drone,image,pos_photo_sky_00.png,v2_deployed,23,0.5219,23,0.5219,drone,290.9,448.1,477.3,434.4
pos_photo_sky,drone,image,pos_photo_sky_00.png,flyingobj,0,0.0,43,0.5791,Airplane,,,,
pos_photo_sky,drone,image,pos_photo_sky_00.png,yolo11x,11,0.8803,11,0.8803,drone,922.8,1023.2,100.4,54.0
pos_photo_sky,drone,image,pos_photo_sky_01.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_photo_sky,drone,image,pos_photo_sky_01.png,flyingobj,0,0.0,0,0.0,,,,,
pos_photo_sky,drone,image,pos_photo_sky_01.png,yolo11x,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_001.png,v2_deployed,27,0.5494,27,0.5494,drone,241.7,499.1,484.3,446.1
pos_video_blm,drone,video,pos_video_blm_00_001.png,flyingobj,9,0.5273,57,0.5273,Drone,844.9,679.1,88.2,64.1
pos_video_blm,drone,video,pos_video_blm_00_001.png,yolo11x,13,0.9034,13,0.9034,drone,844.0,678.1,110.6,53.2
pos_video_blm,drone,video,pos_video_blm_00_002.png,v2_deployed,16,0.5951,16,0.5951,drone,1698.3,1115.7,434.7,544.5
pos_video_blm,drone,video,pos_video_blm_00_002.png,flyingobj,0,0.0,26,0.8161,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_00_002.png,yolo11x,9,0.8461,9,0.8461,drone,838.7,305.7,98.4,90.8
pos_video_blm,drone,video,pos_video_blm_00_003.png,v2_deployed,27,0.5365,27,0.5365,drone,273.3,447.0,473.5,447.3
pos_video_blm,drone,video,pos_video_blm_00_003.png,flyingobj,0,0.0,55,0.7876,Helicopter,,,,
pos_video_blm,drone,video,pos_video_blm_00_003.png,yolo11x,14,0.9391,14,0.9391,drone,914.4,960.4,105.8,49.3
pos_video_blm,drone,video,pos_video_blm_00_004.png,v2_deployed,20,0.5598,20,0.5598,drone,1776.3,1156.3,288.8,420.1
pos_video_blm,drone,video,pos_video_blm_00_004.png,flyingobj,9,0.7435,46,0.7435,Drone,896.6,240.1,65.1,47.3
pos_video_blm,drone,video,pos_video_blm_00_004.png,yolo11x,8,0.8058,8,0.8058,drone,897.7,238.9,76.7,65.5
pos_video_blm,drone,video,pos_video_blm_00_005.png,v2_deployed,25,0.5506,25,0.5506,drone,273.5,447.2,471.0,445.4
pos_video_blm,drone,video,pos_video_blm_00_005.png,flyingobj,0,0.0,60,0.7938,Helicopter,,,,
pos_video_blm,drone,video,pos_video_blm_00_005.png,yolo11x,14,0.9408,14,0.9408,drone,914.5,960.7,105.1,49.9
pos_video_blm,drone,video,pos_video_blm_00_006.png,v2_deployed,26,0.5178,26,0.5178,drone,1707.5,1109.9,416.9,533.2
pos_video_blm,drone,video,pos_video_blm_00_006.png,flyingobj,0,0.0,57,0.8054,Helicopter,,,,
pos_video_blm,drone,video,pos_video_blm_00_006.png,yolo11x,17,0.9475,17,0.9475,drone,913.7,961.4,103.4,50.7
pos_video_blm,drone,video,pos_video_blm_00_007.png,v2_deployed,20,0.5554,20,0.5554,drone,1777.9,1155.8,285.6,420.2
pos_video_blm,drone,video,pos_video_blm_00_007.png,flyingobj,9,0.7473,40,0.7473,Drone,896.4,240.3,65.8,46.9
pos_video_blm,drone,video,pos_video_blm_00_007.png,yolo11x,8,0.7728,8,0.7728,drone,896.8,238.7,77.9,65.8
pos_video_blm,drone,video,pos_video_blm_00_008.png,v2_deployed,25,0.5503,25,0.5503,drone,273.2,443.9,470.9,448.1
pos_video_blm,drone,video,pos_video_blm_00_008.png,flyingobj,0,0.0,53,0.8135,Helicopter,,,,
pos_video_blm,drone,video,pos_video_blm_00_008.png,yolo11x,14,0.9392,14,0.9392,drone,914.4,960.9,105.6,50.2
pos_video_blm,drone,video,pos_video_blm_00_009.png,v2_deployed,19,0.5793,19,0.5793,drone,1698.3,1115.6,435.1,544.2
pos_video_blm,drone,video,pos_video_blm_00_009.png,flyingobj,0,0.0,24,0.8024,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_00_009.png,yolo11x,7,0.843,7,0.843,drone,838.9,305.7,99.3,91.1
pos_video_blm,drone,video,pos_video_blm_00_010.png,v2_deployed,25,0.5514,25,0.5514,drone,239.2,498.6,485.4,443.4
pos_video_blm,drone,video,pos_video_blm_00_010.png,flyingobj,7,0.5209,44,0.5209,Drone,846.2,678.7,89.5,62.7
pos_video_blm,drone,video,pos_video_blm_00_010.png,yolo11x,14,0.9203,14,0.9203,drone,844.4,677.5,108.9,55.7
pos_video_blm,drone,video,pos_video_blm_00_011.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_011.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_011.png,yolo11x,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_012.png,v2_deployed,17,0.5883,17,0.5883,drone,1698.8,1116.0,433.8,543.9
pos_video_blm,drone,video,pos_video_blm_00_012.png,flyingobj,0,0.0,23,0.8101,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_00_012.png,yolo11x,7,0.8338,7,0.8338,drone,838.4,305.6,98.3,89.9
pos_video_blm,drone,video,pos_video_blm_00_013.png,v2_deployed,25,0.5583,25,0.5583,drone,239.9,497.6,485.1,446.5
pos_video_blm,drone,video,pos_video_blm_00_013.png,flyingobj,5,0.3821,42,0.4996,Airplane,846.2,679.6,87.5,61.6
pos_video_blm,drone,video,pos_video_blm_00_013.png,yolo11x,13,0.9094,13,0.9094,drone,843.2,677.6,109.8,56.3
pos_video_blm,drone,video,pos_video_blm_00_014.png,v2_deployed,19,0.5972,19,0.5972,drone,1745.8,1159.6,349.9,419.0
pos_video_blm,drone,video,pos_video_blm_00_014.png,flyingobj,0,0.0,35,0.7818,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_00_014.png,yolo11x,11,0.8535,11,0.8535,drone,816.4,454.1,114.8,84.2
pos_video_blm,drone,video,pos_video_blm_00_015.png,v2_deployed,19,0.5995,19,0.5995,drone,1746.2,1155.7,349.2,427.5
pos_video_blm,drone,video,pos_video_blm_00_015.png,flyingobj,0,0.0,38,0.7845,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_00_015.png,yolo11x,11,0.8553,11,0.8553,drone,816.4,454.3,114.8,84.2
pos_video_blm,drone,video,pos_video_blm_00_016.png,v2_deployed,3,0.4285,3,0.4285,drone,1746.3,1249.2,350.5,524.8
pos_video_blm,drone,video,pos_video_blm_00_016.png,flyingobj,0,0.0,17,0.5316,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_00_016.png,yolo11x,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_017.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_017.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_017.png,yolo11x,0,0.0,0,0.0,,,,,
