segment,label,model,n_frames,n_frames_with_drone_det,drone_det_density,mean_top_drone_score,median_top_drone_score,n_frames_with_anyclass_det,anyclass_fire_density
neg_bird,none,flyingobj,6,1,0.167,0.548,0.548,4,0.667
neg_bird,none,v2_deployed,6,3,0.5,0.464,0.328,3,0.5
neg_bird,none,yolo11x,6,3,0.5,0.447,0.352,3,0.5
neg_ground,none,flyingobj,3,0,0.0,0.0,0.0,3,1.0
neg_ground,none,v2_deployed,3,3,1.0,0.445,0.478,3,1.0
neg_ground,none,yolo11x,3,3,1.0,0.416,0.406,3,1.0
neg_seagull,none,flyingobj,4,1,0.25,0.519,0.519,4,1.0
neg_seagull,none,v2_deployed,4,2,0.5,0.479,0.479,2,0.5
neg_seagull,none,yolo11x,4,1,0.25,0.376,0.376,1,0.25
neg_sky,none,flyingobj,4,0,0.0,0.0,0.0,3,0.75
neg_sky,none,v2_deployed,4,3,0.75,0.372,0.368,3,0.75
neg_sky,none,yolo11x,4,4,1.0,0.367,0.316,4,1.0
pos_photo_dji,drone,flyingobj,4,1,0.25,0.282,0.282,4,1.0
pos_photo_dji,drone,v2_deployed,4,2,0.5,0.465,0.465,2,0.5
pos_photo_dji,drone,yolo11x,4,3,0.75,0.647,0.646,3,0.75
pos_photo_sky,drone,flyingobj,2,0,0.0,0.0,0.0,1,0.5
pos_photo_sky,drone,v2_deployed,2,1,0.5,0.522,0.522,1,0.5
pos_photo_sky,drone,yolo11x,2,1,0.5,0.88,0.88,1,0.5
pos_video_blm,drone,flyingobj,29,6,0.207,0.569,0.524,21,0.724
pos_video_blm,drone,v2_deployed,29,22,0.759,0.53,0.553,22,0.759
pos_video_blm,drone,yolo11x,29,24,0.828,0.683,0.82,24,0.828
