phase,t_sim,t_phase,pose_t_sim,east_m,north_m,up_m,tilt_deg,lean_bearing_deg
settle,18.5480,0.0000,18.5400,0.0007,0.0239,5.3612,0.1388,359.779
settle,18.6440,0.0960,18.6400,-0.0005,0.0230,5.3855,0.1706,8.193
settle,18.7240,0.1760,18.7160,-0.0013,0.0227,5.4054,0.1839,12.116
settle,18.8200,0.2720,18.8040,-0.0023,0.0225,5.4307,0.1819,17.709
settle,18.9120,0.3640,18.9080,-0.0032,0.0228,5.4627,0.1509,29.096
settle,19.0120,0.4640,19.0080,-0.0040,0.0234,5.4937,0.1148,49.908
settle,19.1120,0.5640,19.1080,-0.0047,0.0241,5.5238,0.1078,83.133
settle,19.2160,0.6680,19.2080,-0.0051,0.0248,5.5525,0.1295,109.641
settle,19.3080,0.7600,19.3000,-0.0053,0.0254,5.5775,0.1564,126.491
settle,19.4120,0.8640,19.4000,-0.0053,0.0258,5.6030,0.1756,139.699
settle,19.5120,0.9640,19.5000,-0.0050,0.0260,5.6269,0.1772,150.766
settle,19.6120,1.0640,19.6000,-0.0045,0.0257,5.6491,0.1571,160.941
settle,19.7160,1.1680,19.7000,-0.0039,0.0251,5.6698,0.1256,173.187
settle,19.8160,1.2680,19.8000,-0.0033,0.0243,5.6889,0.0996,185.774
settle,19.9160,1.3680,19.9000,-0.0028,0.0234,5.7066,0.0783,199.819
settle,20.0160,1.4680,20.0000,-0.0024,0.0223,5.7230,0.0568,217.848
settle,20.1160,1.5680,20.1000,-0.0021,0.0212,5.7384,0.0342,248.528
settle,20.2200,1.6720,20.2000,-0.0019,0.0200,5.7529,0.0326,305.779
settle,20.3200,1.7720,20.3200,-0.0017,0.0187,5.7693,0.0550,346.942
settle,20.4200,1.8720,20.4200,-0.0016,0.0177,5.7824,0.0732,1.293
settle,20.5200,1.9720,20.5200,-0.0014,0.0170,5.7949,0.0863,9.783
settle,20.6200,2.0720,20.6200,-0.0012,0.0164,5.8067,0.0857,9.114
settle,20.7160,2.1680,20.7160,-0.0010,0.0160,5.8177,0.0688,8.154
settle,20.8080,2.2600,20.8000,-0.0008,0.0159,5.8269,0.0414,2.646
settle,20.9120,2.3640,20.9000,-0.0005,0.0157,5.8375,0.0243,314.827
settle,21.0120,2.4640,21.0000,-0.0001,0.0156,5.8478,0.0482,270.943
settle,21.1120,2.5640,21.1000,0.0002,0.0153,5.8577,0.0861,269.035
settle,21.2120,2.6640,21.2000,0.0003,0.0151,5.8671,0.1261,274.725
settle,21.3120,2.7640,21.3000,0.0002,0.0147,5.8760,0.1618,284.345
settle,21.4160,2.8680,21.4000,-0.0003,0.0145,5.8844,0.1841,294.314
settle,21.5160,2.9680,21.5000,-0.0011,0.0143,5.8923,0.1941,304.631
settle,21.6160,3.0680,21.6000,-0.0022,0.0144,5.8998,0.1958,313.247
settle,21.7160,3.1680,21.7000,-0.0036,0.0148,5.9069,0.1763,320.962
settle,21.8200,3.2720,21.8000,-0.0052,0.0156,5.9136,0.1220,327.600
settle,21.9200,3.3720,21.9200,-0.0073,0.0168,5.9212,0.0527,345.718
settle,22.0200,3.4720,22.0200,-0.0090,0.0178,5.9271,0.0274,64.361
settle,22.1200,3.5720,22.1200,-0.0106,0.0189,5.9326,0.0648,105.355
settle,22.2240,3.6760,22.2200,-0.0121,0.0198,5.9376,0.0956,110.067
settle,22.3240,3.7760,22.3200,-0.0134,0.0206,5.9422,0.1133,105.516
settle,22.4240,3.8760,22.4200,-0.0144,0.0213,5.9463,0.1191,95.068
settle,22.5280,3.9800,22.5200,-0.0152,0.0219,5.9499,0.1276,83.811
settle,22.6280,4.0800,22.6200,-0.0158,0.0226,5.9533,0.1398,77.539
settle,22.7200,4.1720,22.7120,-0.0162,0.0233,5.9562,0.1470,75.079
settle,22.8160,4.2680,22.7960,-0.0163,0.0240,5.9588,0.1536,74.999
settle,22.9160,4.3680,22.9160,-0.0162,0.0251,5.9623,0.1617,77.061
settle,23.0160,4.4680,23.0160,-0.0157,0.0261,5.9651,0.1574,87.375
settle,23.1160,4.5680,23.1160,-0.0150,0.0272,5.9680,0.1654,101.119
settle,23.2160,4.6680,23.2160,-0.0141,0.0283,5.9708,0.1745,113.035
settle,23.3160,4.7680,23.3120,-0.0129,0.0291,5.9735,0.1751,119.345
settle,23.4200,4.8720,23.4120,-0.0114,0.0297,5.9762,0.1679,121.818
settle,23.5200,4.9720,23.5120,-0.0096,0.0301,5.9788,0.1614,124.895
settle,23.6200,5.0720,23.6120,-0.0077,0.0305,5.9814,0.1586,133.461
settle,23.7200,5.1720,23.7120,-0.0055,0.0307,5.9840,0.1514,144.166
settle,23.8200,5.2720,23.8120,-0.0032,0.0305,5.9867,0.1266,155.378
settle,23.9200,5.3720,23.9080,-0.0008,0.0301,5.9895,0.0959,173.364
settle,24.0240,5.4760,24.0080,0.0016,0.0296,5.9925,0.0788,200.100
settle,24.1240,5.5760,24.1080,0.0039,0.0289,5.9956,0.0760,231.260
settle,24.2280,5.6800,24.2080,0.0060,0.0281,5.9988,0.0857,255.722
settle,24.3280,5.7800,24.3280,0.0084,0.0273,6.0027,0.1214,268.040
settle,24.4280,5.8800,24.4280,0.0101,0.0266,6.0058,0.1435,270.558
settle,24.5280,5.9800,24.5280,0.0115,0.0259,6.0087,0.1507,266.487
settle,24.6320,6.0840,24.6240,0.0126,0.0253,6.0112,0.1500,266.602
settle,24.7200,6.1720,24.7120,0.0132,0.0246,6.0132,0.1364,273.164
settle,24.8120,6.2640,24.7960,0.0137,0.0240,6.0147,0.1252,280.746
settle,24.9160,6.3680,24.8960,0.0141,0.0233,6.0161,0.1136,293.173
settle,25.0160,6.4680,25.0160,0.0143,0.0225,6.0172,0.1227,314.892
settle,25.1160,6.5680,25.1160,0.0143,0.0220,6.0178,0.1348,326.462
settle,25.2160,6.6680,25.2160,0.0142,0.0218,6.0182,0.1349,328.552
settle,25.3200,6.7720,25.3160,0.0141,0.0219,6.0183,0.1210,327.346
settle,25.4200,6.8720,25.4160,0.0137,0.0222,6.0182,0.1002,329.083
settle,25.5200,6.9720,25.5160,0.0132,0.0226,6.0181,0.0717,339.171
settle,25.6200,7.0720,25.6160,0.0128,0.0231,6.0180,0.0488,348.357
settle,25.7240,7.1760,25.7160,0.0123,0.0237,6.0180,0.0496,358.089
settle,25.8240,7.2760,25.8160,0.0119,0.0242,6.0182,0.0547,359.100
settle,25.9240,7.3760,25.9160,0.0115,0.0249,6.0183,0.0579,351.057
settle,26.0240,7.4760,26.0160,0.0112,0.0257,6.0185,0.0713,332.353
settle,26.1280,7.5800,26.1160,0.0108,0.0266,6.0187,0.0919,315.345
settle,26.2280,7.6800,26.2160,0.0104,0.0276,6.0188,0.1105,299.335
settle,26.3280,7.7800,26.3120,0.0097,0.0287,6.0189,0.1195,284.130
settle,26.4280,7.8800,26.4120,0.0088,0.0300,6.0191,0.1138,269.312
settle,26.5320,7.9840,26.5320,0.0074,0.0314,6.0194,0.1042,251.240
settle,26.6320,8.0840,26.6320,0.0060,0.0325,6.0196,0.1020,238.736
settle,26.7200,8.1720,26.7040,0.0050,0.0331,6.0198,0.0892,234.671
settle,26.8080,8.2600,26.8040,0.0034,0.0339,6.0200,0.0654,239.410
settle,26.8960,8.3480,26.8880,0.0020,0.0345,6.0200,0.0471,258.104
settle,26.9920,8.4440,26.9800,0.0005,0.0350,6.0199,0.0365,298.145
settle,27.0920,8.5440,27.0800,-0.0012,0.0357,6.0198,0.0446,337.345
settle,27.1920,8.6440,27.1800,-0.0029,0.0364,6.0196,0.0730,350.372
settle,27.2960,8.7480,27.2800,-0.0046,0.0373,6.0194,0.1030,347.474
settle,27.3960,8.8480,27.3800,-0.0062,0.0384,6.0194,0.1073,344.701
settle,27.4960,8.9480,27.4800,-0.0080,0.0396,6.0195,0.1098,349.745
settle,27.5960,9.0480,27.5800,-0.0098,0.0411,6.0199,0.0956,2.172
settle,27.6960,9.1480,27.6800,-0.0117,0.0428,6.0204,0.0788,33.668
settle,27.7960,9.2480,27.7800,-0.0135,0.0446,6.0211,0.1128,67.875
settle,27.9000,9.3520,27.8800,-0.0152,0.0464,6.0220,0.1767,87.583
settle,28.0000,9.4520,28.0000,-0.0168,0.0488,6.0230,0.2546,103.015
settle,28.1000,9.5520,28.1000,-0.0175,0.0506,6.0239,0.3033,110.409
settle,28.2000,9.6520,28.2000,-0.0177,0.0521,6.0247,0.3364,115.323
settle,28.2920,9.7440,28.2880,-0.0174,0.0532,6.0253,0.3529,119.239
settle,28.3960,9.8480,28.3880,-0.0165,0.0542,6.0260,0.3694,123.624
settle,28.4960,9.9480,28.4880,-0.0151,0.0549,6.0264,0.3784,128.583
settle,28.5960,10.0480,28.5880,-0.0131,0.0550,6.0267,0.3678,133.091
settle,28.6960,10.1480,28.6880,-0.0106,0.0547,6.0266,0.3365,136.827
settle,28.7960,10.2480,28.7840,-0.0079,0.0539,6.0263,0.2912,141.108
settle,28.8760,10.3280,28.8680,-0.0052,0.0529,6.0259,0.2439,145.538
settle,28.9800,10.4320,28.9600,-0.0021,0.0514,6.0254,0.1765,152.296
settle,29.0760,10.5280,29.0760,0.0019,0.0493,6.0245,0.0990,184.666
settle,29.1680,10.6200,29.1640,0.0050,0.0476,6.0240,0.0951,229.251
settle,29.2680,10.7200,29.2640,0.0083,0.0456,6.0234,0.1443,261.239
settle,29.3680,10.8200,29.3640,0.0112,0.0436,6.0229,0.2018,275.388
settle,29.4720,10.9240,29.4640,0.0137,0.0416,6.0225,0.2470,283.981
settle,29.5720,11.0240,29.5640,0.0157,0.0397,6.0220,0.2719,292.172
