# scripts/wind_driver.py -- APPLIED wind wrench log (world-side disturbance; gt side of the honesty boundary, scoring/audit only)
# world=apriltag entity=x500_mono_cam_0::base_link topic=/world/apriltag/wrench/persistent
# label=gate0 mean_mps=5.0 dir_from_deg=270.0 height_m=6.0 sigma_mps=0.0 tau_s=8.629200809773325 seed=7 rate_hz=20.0
# conditions_provenance=Gate-0 physics probe: synthetic steady wind, NOT a field reading (docs/wind_gate0_prereg.md)
# drag: mass_kg=2.114307692307692 mcoef_per_s=0.15 bcoef=100.0 rho=1.225
# drag_provenance=PX4 defaults + SDF mass, SITL ONLY: EKF2_MCOEF=0.15 1/s and EKF2_BCOEF_X/Y=100 kg/m^2 from src/modules/ekf2/params_drag.yaml; mass 2.114308 kg = x500_base/model.sdf (2.0 + 4*0.016076923) + mono_cam/model.sdf (0.050); rho 1.225 ISA. NOT measured on the real airframe -- do not quote a field number off these.
# columns applied_f_* are what was PUT ON THE WIRE; `published` is whether gz-transport accepted it (ADR-0090 pattern: log what was applied, not what was intended)
t_sim,grid_index,wind_n,wind_e,wind_d,steady_n,steady_e,gust_u,gust_v,v_veh_n,v_veh_e,v_rel_n,v_rel_e,v_rel_mps,a_drag_m_s2,applied_f_n,applied_f_e,applied_f_d,applied_f_world_x,applied_f_world_y,applied_f_world_z,published,publish_error
40.8120,816,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00649,0.01035,0.00649,4.98965,4.98965,0.90094,0.00248,1.90486,0.00000,1.90486,0.00248,-0.00000,1,
40.8600,817,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00554,0.01240,0.00554,4.98760,4.98761,0.90051,0.00211,1.90395,0.00000,1.90395,0.00211,-0.00000,1,
40.9120,818,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00411,0.01491,0.00411,4.98509,4.98509,0.89998,0.00157,1.90283,0.00000,1.90283,0.00157,-0.00000,1,
40.9600,819,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00328,0.01672,0.00328,4.98328,4.98328,0.89960,0.00125,1.90202,0.00000,1.90202,0.00125,-0.00000,1,
41.0120,820,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00271,0.01822,0.00271,4.98178,4.98178,0.89928,0.00103,1.90135,0.00000,1.90135,0.00103,-0.00000,1,
41.0600,821,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00162,0.01948,0.00162,4.98052,4.98052,0.89901,0.00062,1.90079,0.00000,1.90079,0.00062,-0.00000,1,
41.1120,822,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00052,0.02138,0.00052,4.97862,4.97862,0.89861,0.00020,1.89994,0.00000,1.89994,0.00020,-0.00000,1,
41.1600,823,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00024,0.02283,-0.00024,4.97717,4.97717,0.89831,-0.00009,1.89929,0.00000,1.89929,-0.00009,-0.00000,1,
41.2120,824,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00056,0.02392,-0.00056,4.97608,4.97608,0.89808,-0.00021,1.89881,0.00000,1.89881,-0.00021,-0.00000,1,
41.2600,825,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00026,0.02449,-0.00026,4.97551,4.97551,0.89796,-0.00010,1.89855,0.00000,1.89855,-0.00010,-0.00000,1,
41.3120,826,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00003,0.02510,-0.00003,4.97490,4.97490,0.89783,-0.00001,1.89828,0.00000,1.89828,-0.00001,-0.00000,1,
41.3600,827,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00045,0.02553,0.00045,4.97447,4.97447,0.89774,0.00017,1.89809,0.00000,1.89809,0.00017,-0.00000,1,
41.4920,829,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00160,0.02606,0.00160,4.97394,4.97394,0.89762,0.00061,1.89785,0.00000,1.89785,0.00061,-0.00000,1,
41.5440,830,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00254,0.02644,0.00254,4.97356,4.97356,0.89754,0.00097,1.89768,0.00000,1.89768,0.00097,-0.00000,1,
41.5920,831,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00283,0.02642,0.00283,4.97358,4.97358,0.89755,0.00108,1.89769,0.00000,1.89769,0.00108,-0.00000,1,
41.6440,832,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00330,0.02637,0.00330,4.97363,4.97363,0.89756,0.00126,1.89771,0.00000,1.89771,0.00126,-0.00000,1,
