label,path,rtf,miss,t_cpa,phase_cpa,t_last,blind_sim_s,range_lastdet,beta_true_lastdet,beta_meas_lastdet,u_px_lastdet,inc_lastdet,tagpx_lastdet,lamdot_true_lastdet,rdot_lastdet,infov_frac_blind,infov_h_frac_blind,max_beta_blind,fov_exit_dtsim,fov_exit_range,max_lamdot_true_blind,max_psidot_blind,mean_psidot_blind,max_inc_blind,inc_at_lastdet,zem_lastdet,zem_freeze,range_freeze,t_freeze,zem_1s,zem_05s,zem_15s,zem_2s,agg_miss,breakoff_reason
BASE#0,m4_intercept_pronav_20260706T031529Z.csv,0.4917700503461311,0.9218,22.434,ENGAGE,22.434,0.0,0.9218,-69.10333113841591,-36.771858333701104,-774.1993211111394,140.7367259153115,292.8704708179649,-627.2877386135552,-2.4695372569816025,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.7367259153115,0.9160359629209573,1.057633251531503,2.8364,22.026,3.877200381925563,1.087533553206298,6.48679350223934,14.667023694621072,0.922,lost detection for >1.0s inside terminal range (5.0 m)
BASE#1,m4_intercept_pronav_20260706T031627Z.csv,0.4492959499014401,0.6162,24.65,ENGAGE,24.601,0.022015501545170336,0.6556,58.161931536938425,27.78902602164006,1509.5370794688747,150.7663908687419,411.7876754118365,854.5806215867876,-3.895274287330381,0.0,0.0,98.17260094013591,0.0,0.6162,1031.3019113619441,1.5164062575719794,1.5164062575719794,123.19906010493504,150.7663908687419,0.6006014602369643,0.7527008378509786,2.9225,24.191,3.9075194411069063,0.9190075405080729,6.645104199222106,15.953205508270244,0.616,lost detection for >1.0s inside terminal range (5.0 m)
BASE#2,m4_intercept_pronav_20260706T031729Z.csv,0.498527226958547,0.7628,22.412,ENGAGE,22.412,0.0,0.7628,-72.48605213426613,-31.043999255778264,-1071.0057363302392,138.52228813709348,353.91714735186156,-904.8826031580154,-4.03018328204388,nan,nan,nan,nan,nan,nan,nan,nan,nan,138.52228813709348,0.7605393218544976,0.796751398539801,2.4266,22.057,2.6431566282382506,1.0060397321259795,7.041468609410554,14.762811936162116,0.763,lost detection for >1.0s inside terminal range (5.0 m)
BASE#3,m4_intercept_pronav_20260706T031826Z.csv,0.5088122170273588,2.5767,22.336,ENGAGE,22.184,0.07733945698815725,2.6521,51.17801941044797,45.235590883373625,1311.017637507155,162.5105839303081,101.79404999811472,226.84187513889017,-2.926861486210824,0.0,0.0,63.31923012340047,0.051390033919762775,2.6396,242.79448798114106,87.4308827747816,85.31980896554093,158.28601262324597,162.5105839303081,2.575867238043873,2.5675909631527305,2.9826,22.031,4.563528514434028,3.010032204759257,6.333305534595499,13.205645483778854,2.577,lost detection for >1.0s inside terminal range (5.0 m)
BASE#4,m4_intercept_pronav_20260706T031925Z.csv,0.4797355639382308,1.5243,21.082,ENGAGE,20.624,0.21971888828371064,3.0173,-23.463179779235247,-22.220449210763586,405.64161249798644,151.39452493770585,89.47337023166408,-120.15801542245082,-9.943545977566865,0.6666666666666666,0.6666666666666666,73.48913552098915,0.04797355639382376,1.6406,464.35543566592696,77.54536970775617,64.35753305831352,164.7397029485347,151.39452493770585,1.622547684295442,1.6165256699898778,2.7958,20.674,4.869271930390739,1.9429853694307895,7.906740626338045,13.950040868971596,1.524,lost detection for >1.0s inside terminal range (5.0 m)
BASE#5,m4_intercept_pronav_20260706T032023Z.csv,0.43462949498956394,0.9289,23.678,ENGAGE,23.628,0.021731474749478504,1.0551,51.094615122890616,29.636814910936966,1309.0213502758052,162.39793953560758,255.86958582124922,479.6629346670816,-4.416901403398624,0.0,0.0,71.99600606181093,0.0,0.9289,642.2774900449061,8.282132395421343,8.282132395421343,145.54022441162192,162.39793953560758,0.9257670849216861,0.9345500783470199,2.7687,23.223,4.403403808683891,1.2513293930657536,6.8932325415572295,11.08561889126331,0.929,lost detection for >1.0s inside terminal range (5.0 m)
BASE#6,m4_intercept_pronav_20260706T032122Z.csv,0.5093481986965952,1.2029,21.785,ENGAGE,21.633,0.077420926201883,1.3778,-43.670144599468614,-31.84671312675655,124.5639597458046,160.76692765595382,195.94135578458415,-420.5005984456185,-5.799273043114952,0.0,0.0,84.99387944354862,0.050934819869660246,1.3115,624.739455022014,32.78036702766401,32.06559247253486,157.90670116797511,160.76692765595382,1.2214180203100495,1.2013486212964835,2.7663,21.328,3.563124140762399,1.4523338417333702,6.203850500346203,16.005264100147162,1.203,lost detection for >1.0s inside terminal range (5.0 m)
BASE#7,m4_intercept_pronav_20260706T032220Z.csv,0.4928309263851123,1.4607,21.114,ENGAGE,21.012,0.050268754491281605,1.5542,54.792264622752185,39.41835038941038,1405.1887303204912,164.76788578513134,173.70222622571097,466.6041867317079,-4.461602724355021,0.0,0.0,75.6579368714763,0.02513437724564168,1.5014,483.7034842014558,44.72207131743327,40.63428849065018,147.9166033172925,164.76788578513134,1.4673915591145101,1.5792321293357197,2.6516,20.708,4.374280511384486,1.5450472620089446,6.606181747726097,14.146937990416697,1.461,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#0,m4_intercept_pronav_20260706T032322Z.csv,0.5141907074885471,0.9841,21.28,ENGAGE,21.179,0.051933261456344616,1.1925,-48.536979396908976,-35.41452131703618,28.91910172341261,157.12302702597432,226.3882599580713,-484.30444438862577,-5.547981177149063,0.0,0.0,75.27912017319474,0.02570953537442772,1.0736,561.1440436929869,24.865215703270763,24.555280014256418,151.65719846287385,157.12302702597432,1.0656418598863613,1.0293893425705842,2.7011,20.871,3.9648532460334134,0.9714931370096985,6.699700211044144,14.96440157788809,0.984,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#1,m4_intercept_pronav_20260706T032420Z.csv,0.46722247078271706,0.6272,22.212,ENGAGE,22.163,0.022893901068352897,0.7302,67.39152406617131,29.040938804000906,1936.572271464559,148.80197178402804,369.717885510819,950.1917640605417,-1.689888362826743,0.0,0.0,94.95238808272285,0.0,0.6272,1003.6666377375929,2.5233366510328015,2.5233366510328015,124.51662957666923,148.80197178402804,0.7189081774777052,0.7366039433837229,2.6846,21.755,3.3918465164010017,0.957855637200402,6.568189794350488,13.847337011077816,0.627,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#2,m4_intercept_pronav_20260706T032516Z.csv,0.4968566895204512,0.7193,21.077,ENGAGE,21.077,0.0,0.7193,-76.14129039966932,-34.02395274825368,-1548.5423472820348,143.07172838887706,375.3204504379258,-881.6745857316602,-4.11066033689245,nan,nan,nan,nan,nan,nan,nan,nan,nan,143.07172838887706,0.7164668667839988,0.7134421253761872,2.4459,20.718,3.4768719827151635,0.9689846541092094,9.79575922690638,15.393941304513376,0.719,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#3,m4_intercept_pronav_20260706T032613Z.csv,0.497670929821888,2.4591,22.216,ENGAGE,21.859,0.17766852194641367,3.1009,34.98799901637793,29.359503338093642,1017.8987403299989,171.26091305284655,87.06117578767454,159.7946445023208,-6.995330328548008,0.42857142857142855,0.42857142857142855,65.59189866771598,0.07713899412239321,2.5484,281.4437425843917,76.38505946798955,68.22054947681522,174.9189328486662,171.26091305284655,2.5074079534517897,2.571958851635012,3.0056,21.91,4.582622381973122,3.140995525777107,6.5474567681421,14.268475434487094,2.459,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#4,m4_intercept_pronav_20260706T032711Z.csv,0.5116262467894543,1.2927,22.287,ENGAGE,22.185,0.0521858771725245,1.435,-46.30580086374539,-35.762879656475725,74.87471238478952,164.1001779223847,188.13101045296168,-408.9097758183884,-6.120065914587339,0.0,0.0,65.37555054895853,0.02609293858626134,1.3944,499.5656900976725,48.71432919668479,45.46057532303279,154.25627848190973,164.1001779223847,1.256428180896304,1.2849152590915185,2.6746,21.931,4.658412764745158,1.348719598711299,10.926711067312151,14.363009123091164,1.293,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#5,m4_intercept_pronav_20260706T032811Z.csv,0.475604965573109,0.7744,21.287,ENGAGE,21.238,0.0233046433130821,0.9208,46.64183226296427,26.39215491711111,1211.8019958742075,161.6147842745792,293.1885317115552,728.7676442521755,-6.294894707578004,0.0,0.0,69.54976556843945,0.0,0.7744,819.6547085089252,21.523594903051475,21.523594903051475,141.91169479504103,161.6147842745792,0.8012011307218189,0.7340500292802273,2.2927,20.933,4.108714767061487,1.2625504745277736,6.773834367913816,9.674551156460366,0.774,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#6,m4_intercept_pronav_20260706T032909Z.csv,0.5087523122816858,1.3638,21.879,ENGAGE,21.774,0.05341899278957723,1.4139,-53.11991935397184,-36.93973496767443,-79.64817108957095,161.29234062076483,190.93853879340833,-429.7763628092017,-4.694791054028621,0.0,0.0,73.73936295615908,0.026963872550929767,1.3831,561.7285144467012,37.910210809699514,37.84251820257245,155.43341185104234,161.29234062076483,1.3270925997666854,1.4323565080669827,3.0272,21.419,3.360536148657104,1.846863843933909,6.011843763812253,14.925131495839647,1.364,lost detection for >1.0s inside terminal range (5.0 m)
FUSE#7,m4_intercept_pronav_20260706T033008Z.csv,0.46135430263627786,1.068,23.75,ENGAGE,23.7,0.023067715131814222,1.076,55.87033729422342,35.011731987059214,1436.5934870857677,156.69349779444087,250.8996282527881,553.4427278636673,-4.0029215085641345,0.0,0.0,67.2334846856453,0.0,1.068,654.5565895128309,15.087419918225244,15.087419918225244,146.16227166107763,156.69349779444087,1.024004427913974,1.2142542393807225,3.7747,23.142,4.480043480196073,1.7738059924766443,6.7827334758094295,13.598904436106793,1.068,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#0,m4_intercept_pronav_20260706T033114Z.csv,0.4763250914197774,0.8321,21.862,ENGAGE,21.709,0.07287773898722533,1.0068,-41.99628558762214,-27.535778676192233,153.9028197883548,153.40832788056196,268.14461660707195,-598.1464178586294,-6.1390824196135645,0.0,0.0,97.9645851989562,0.04858515932481575,0.9255,759.8631259955698,25.919439370974622,23.573740005701,146.72936147296429,153.40832788056196,0.8699544582455415,0.9214865713563216,2.3573,21.405,4.316849060894497,1.3422768782063537,8.487216852214496,13.252358786555224,0.832,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#1,m4_intercept_pronav_20260706T033214Z.csv,0.4581769763871029,0.7097,22.371,ENGAGE,22.27,0.046275874615096975,0.8718,39.29009590286822,20.76972007349234,1081.7766583143239,156.74963755077303,309.6673548979124,788.1547567177561,-5.2032743101197685,0.0,0.0,89.29308537926505,0.022908848819353844,0.737,958.2222864609424,17.471689072441926,15.791403672655889,134.53596605646624,156.74963755077303,0.703099997107955,0.7233771405596918,3.1722,21.862,3.2011994165065603,1.236995597761982,6.612953070043322,15.816525048871787,0.71,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#2,m4_intercept_pronav_20260706T033319Z.csv,0.29581944867205684,0.465,35.223,ENGAGE,35.122,0.02987776431587747,0.52,-33.64375572481066,-14.083302604315634,280.6727214309858,132.45415020440095,519.1692307692308,-1133.4938225985168,-8.236441902055528,0.0,0.5,77.41503099194291,0.0,0.465,1867.958186511373,12.293976073019452,10.13836627252061,132.45415020440095,132.45415020440095,0.46201492523986765,0.3366870144976398,3.4916,34.244,3.3981749547544453,0.818163175157862,6.6654929055560475,15.382900170439285,0.465,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#3,m4_intercept_pronav_20260706T033442Z.csv,0.49661868871054765,2.4085,23.555,ENGAGE,23.146,0.20311704368261346,3.0087,36.01689958373419,30.74548824451511,1032.529839998035,173.0041254806309,89.72911888855653,178.78562934335656,-6.8035318419444915,0.5,0.5,64.41631826354728,0.07548604068400375,2.5158,273.3725712388972,77.00212170032633,72.1390896647791,174.84863913880324,173.0041254806309,2.4950625400267636,2.4950625400267636,3.0087,23.146,4.4551678579698875,2.5212221793618035,6.399911529277895,7.561525525103885,2.409,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#4,m4_intercept_pronav_20260706T033541Z.csv,0.48570641474244775,1.7508,23.265,ENGAGE,22.705,0.27199559225577186,3.9199,-18.546323334226088,-15.142701567512528,458.85440282462537,148.10873838057708,68.87114467205797,-107.98170255167035,-10.77117375649514,0.7272727272727273,0.7272727272727273,59.790499519351826,0.05002776071847286,1.8914,359.78097100161193,54.96691712011604,45.37255460442184,169.24742857116988,148.10873838057708,2.1128487295587317,1.7714817856215768,3.1663,22.858,4.982961414320034,2.336732743016598,8.257603756670292,12.43702057277765,1.751,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#5,m4_intercept_pronav_20260706T033641Z.csv,0.48395136454671533,0.9374,24.162,ENGAGE,24.112,0.02419756822733611,0.9488,54.882264824943604,36.4670447866915,1407.745952774134,152.07203040850166,284.5362563237774,696.6727794264054,-3.9450849834751924,0.0,0.0,87.00845976407487,0.0,0.9374,726.3956817455753,29.58485765086067,29.58485765086067,125.01712237309255,152.07203040850166,0.8994147970281546,0.8631135044812107,2.745,23.707,3.8281544350785337,1.4477970253738706,6.618890891300028,11.402815537205697,0.937,lost detection for >1.0s inside terminal range (5.0 m)
FUSEWARM#6,m4_intercept_pronav_20260706T033744Z.csv,0.5108269877238162,1.255,24.027,ENGAGE,23.874,0.07815652912174502,1.5095,-46.61967474707319,-36.82285157746775,68.64080646893945,160.9696770639451,178.84597548857238,-458.5183576604349,-5.183883325452516,0.0,0.0,84.07881729047564,0.05210435274782941,1.4156,541.4116132855768,38.68362481680695,38.327948166742374,155.09889388012743,160.9696770639451,1.3821758161514859,1.4795462422869745,2.8202,23.57,3.632432470823676,1.6177265947541075,6.342705865912038,10.346233367058433,1.255,lost detection for >1.0s inside terminal range (5.0 m)
