frame_idx,sensor_timestamp_ns,monotonic_ns_capture,boottime_ns_capture,monotonic_ns_after_detect,boottime_ns_after_detect,exposure_us_applied,n_tag_detections
0,60083812927000,60083823986118,60083823988284,60083830598833,60083830603148,994,0
1,60083821637000,60083832769306,60083832771603,60083835781961,60083835783832,994,0
2,60083830348000,60083840816127,60083840816979,60083844349780,60083844351058,994,0
3,60083839058000,60083849371057,60083849371872,60083853030655,60083853031766,994,0
4,60083847769000,60083858556430,60083858557300,60083861745177,60083861746232,994,0
5,60083856481000,60083866924009,60083866924731,60083869892812,60083869894053,994,0
6,60083865190000,60083875880826,60083875881567,60083878841574,60083878842704,994,0
7,60083873902000,60083884227591,60083884228165,60083887221857,60083887222653,994,0
8,60083882611000,60083894605310,60083894606014,60083897585262,60083897586280,994,0
9,60083891322000,60083901999060,60083901999745,60083905045715,60083905046640,994,0
10,60083900036000,60083910669989,60083910670749,60083913620274,60083913621311,994,0
11,60083908743000,60083919429289,60083919430067,60083922481722,60083922482833,994,0
12,60083917454000,60083927837998,60083927838720,60083930786931,60083930787894,994,0
13,60083926164000,60083936478002,60083936479057,60083939425416,60083939426194,994,0
14,60083934874000,60083946908202,60083946908925,60083949960098,60083949961061,994,0
15,60083943585000,60083954192934,60083954193693,60083957166570,60083957167626,994,0
16,60083952296000,60083962641883,60083962642623,60083965659390,60083965660205,994,0
17,60083961005000,60083971366812,60083971367423,60083974285875,60083974286727,994,0
18,60083969716000,60083980117482,60083980118001,60083983137619,60083983138693,994,0
19,60083978427000,60083989052022,60083989052707,60083992122770,60083992123770,994,0
20,60083987140000,60083999138076,60083999138817,60084002152083,60084002153361,994,0
21,60083995849000,60084006178623,60084006179216,60084009205241,60084009205982,994,0
22,60084004559000,60084014892349,60084014892979,60084017796301,60084017797079,994,0
23,60084013269000,60084023883944,60084023884685,60084026957581,60084026958618,994,0
24,60084021980000,60084032377764,60084032378542,60084035340975,60084035342141,994,0
25,60084030690000,60084040993175,60084040994027,60084043966608,60084043967701,994,0
26,60084039401000,60084051399709,60084051400691,60084054401976,60084054403087,994,0
27,60084048111000,60084058712848,60084058713459,60084061685040,60084061685948,994,0
28,60084056822000,60084067158945,60084067159779,60084070155378,60084070156600,994,0
29,60084065531000,60084075924060,60084075924764,60084078948419,60084078949289,994,0
30,60084074242000,60084084656156,60084084656767,60084087673793,60084087674922,994,0
31,60084082953000,60084093512418,60084093513326,60084096495981,60084096496963,994,0
32,60084091665000,60084103705972,60084103706750,60084106729997,60084106731183,994,0
33,60084100374000,60084110729760,60084110730797,60084113734045,60084113735045,994,0
34,60084109084000,60084119431838,60084119432523,60084122451400,60084122452493,994,0
35,60084117795000,60084128452081,60084128453210,60084131423144,60084131424032,994,0
36,60084126507000,60084136949474,60084136950382,60084139911222,60084139912222,994,0
37,60084135215000,60084145537812,60084145538812,60084148530745,60084148531948,994,0
38,60084143926000,60084155952679,60084155953383,60084158978760,60084158979742,994,0
39,60084152637000,60084163221577,60084163222300,60084166279417,60084166279992,994,0
40,60084161348000,60084171706286,60084171706841,60084174695719,60084174696589,994,0
41,60084170058000,60084180463808,60084180464789,60084183401463,60084183402556,994,0
42,60084178768000,60084189169293,60084189170052,60084192157837,60084192158633,994,0
43,60084187479000,60084198022722,60084198023574,60084201009729,60084201010655,994,0
44,60084196190000,60084208191461,60084208192183,60084211192338,60084211193171,994,0
45,60084204900000,60084215230230,60084215231045,60084218236496,60084218237274,994,0
46,60084213610000,60084223952567,60084223953122,60084226969315,60084226970000,994,0
47,60084222321000,60084232958458,60084232959199,60084236017706,60084236018521,994,0
48,60084231033000,60084241435518,60084241436278,60084244466914,60084244467766,994,0
49,60084239742000,60084250040374,60084250041411,60084253142140,60084253143159,994,0
50,60084248452000,60084260483075,60084260483834,60084263455490,60084263456378,994,0
51,60084257163000,60084267762603,60084267763603,60084270792406,60084270793387,994,0
52,60084265874000,60084276243570,60084276244422,60084279327688,60084279329058,994,0
53,60084274584000,60084284985703,60084284986500,60084288093895,60084288094691,994,0
54,60084283294000,60084293714707,60084293715429,60084296715584,60084296716677,994,0
55,60084292005000,60084302549877,60084302550729,60084305547273,60084305548125,994,0
56,60084300719000,60084312742264,60084312743190,60084315873437,60084315874585,994,0
57,60084309427000,60084319762644,60084319763440,60084322760022,60084322760929,994,0
58,60084318137000,60084328515000,60084328515777,60084331516155,60084331517192,994,0
59,60084326847000,60084337491780,60084337492391,60084340469676,60084340470676,994,0
60,60084335559000,60084345987451,60084345988081,60084349073513,60084349074680,994,0
61,60084344268000,60084354571437,60084354572196,60084357656332,60084357657110,994,0
62,60084352979000,60084365014730,60084365015545,60084368073089,60084368074274,994,0
63,60084361689000,60084372305443,60084372306295,60084375328079,60084375328968,994,0
64,60084370400000,60084380800688,60084380801558,60084383876380,60084383877250,994,0
65,60084379110000,60084389519710,60084389520544,60084392598161,60084392599032,994,0
66,60084387821000,60084398243325,60084398244084,60084401347054,60084401347961,994,0
67,60084396532000,60084407093106,60084407094050,60084410237038,60084410238075,994,0
68,60084405242000,60084417262289,60084417263160,60084420215278,60084420216185,994,0
69,60084413952000,60084424293892,60084424294596,60084427339621,60084427340565,994,0
70,60084422663000,60084433032247,60084433032951,60084436073699,60084436074384,994,0
71,60084431373000,60084442026750,60084442027676,60084445056294,60084445057238,994,0
72,60084440085000,60084450517902,60084450518884,60084453490669,60084453491521,994,0
73,60084448794000,60084459109629,60084459110462,60084462201543,60084462202876,994,0
74,60084457505000,60084469525496,60084469526330,60084472624614,60084472625521,994,0
75,60084466216000,60084476857283,60084476857987,60084479828494,60084479829309,994,0
76,60084474927000,60084485272269,60084485272954,60084488393350,60084488394535,994,0
77,60084483637000,60084494046458,60084494047291,60084497027261,60084497028224,994,0
78,60084492347000,60084502752258,60084502753017,60084505700395,60084505701376,994,0
79,60084501058000,60084511605076,60084511605854,60084514731286,60084514732693,994,0
80,60084509768000,60084521784574,60084521785241,60084524863562,60084524864544,994,0
81,60084518478000,60084528831399,60084528832214,60084531860017,60084531860869,994,0
82,60084527189000,60084537552032,60084537552884,60084540600150,60084540600928,994,0
83,60084535899000,60084546548201,60084546549423,60084549647449,60084549648393,994,0
84,60084544610000,60084555002261,60084555002984,60084557942880,60084557944028,994,0
85,60084553320000,60084563611580,60084563612210,60084566624272,60084566625439,994,0
86,60084562031000,60084574041559,60084574042281,60084577035677,60084577036603,994,0
87,60084570742000,60084581351531,60084581352346,60084584325908,60084584326853,994,0
88,60084579452000,60084589812702,60084589813591,60084592869246,60084592869968,994,0
89,60084588162000,60084598572280,60084598573131,60084601521842,60084601522657,994,0
90,60084596873000,60084607275024,60084607275728,60084610248828,60084610249772,994,0
91,60084605584000,60084616137379,60084616137990,60084619195015,60084619196367,994,0
92,60084614294000,60084626321747,60084626322673,60084629417106,60084629418347,994,0
93,60084623004000,60084633366165,60084633366924,60084636416616,60084636417468,994,0
94,60084631715000,60084642086798,60084642087280,60084645169953,60084645171083,994,0
95,60084640426000,60084651060856,60084651061745,60084654169048,60084654169881,994,0
