t_s,temp_c,throttled_hex,arm_hz
1.98,46.3,0x0,2400033792
3.99,50.15,0x0,2400033792
5.99,51.25,0x0,2400017408
7.99,52.9,0x0,2400020480
10.0,52.35,0x0,2400033792
12.0,51.8,0x0,2400033792
14.0,52.9,0x0,2400030464
16.01,52.9,0x0,2400027136
18.02,52.9,0x0,2400033792
20.02,52.35,0x0,2400020480
22.03,51.8,0x0,2400037120
24.03,54.0,0x0,2400033792
26.03,52.9,0x0,2400027136
28.04,52.35,0x0,2400020480
30.04,52.9,0x0,2400033792
32.05,53.45,0x0,2400033792
34.05,52.35,0x0,2400020480
36.06,52.9,0x0,2400020480
38.06,53.45,0x0,2400020480
40.06,53.45,0x0,2400027136
42.07,52.9,0x0,2400020480
44.07,54.55,0x0,2400030464
46.08,54.0,0x0,2400027136
48.08,52.9,0x0,2400020480
50.09,54.0,0x0,2400017408
52.09,54.0,0x0,2400023808
54.1,54.0,0x0,2400020480
56.1,54.55,0x0,2400033792
58.11,53.45,0x0,2400030464
60.11,54.55,0x0,2400027136
62.12,54.55,0x0,2400030464
64.12,54.0,0x0,2400027136
66.13,54.55,0x0,2400020480
68.13,54.0,0x0,2400033792
70.14,54.55,0x0,2400030464
72.14,55.1,0x0,2400027136
74.15,54.55,0x0,2400037120
76.15,55.1,0x0,2400030464
78.16,55.1,0x0,2400033792
80.16,54.0,0x0,2400020480
82.16,54.55,0x0,2400037120
84.17,54.55,0x0,2400033792
86.18,55.1,0x0,2400020480
88.18,54.55,0x0,2400027136
90.19,55.1,0x0,2400017408
92.19,54.55,0x0,2400017408
94.2,55.1,0x0,2400033792
96.2,54.0,0x0,2400027136
98.21,54.55,0x0,2400030464
100.21,55.1,0x0,2400030464
102.21,54.55,0x0,2400030464
104.22,55.1,0x0,2400020480
106.22,55.1,0x0,2400030464
108.23,55.65,0x0,2400030464
110.23,55.1,0x0,2400030464
112.24,55.1,0x0,2400033792
114.25,55.65,0x0,2400027136
116.25,55.65,0x0,2400037120
118.26,55.65,0x0,2400027136
120.26,56.2,0x0,2400037120
122.27,56.2,0x0,2400033792
124.27,55.1,0x0,2400030464
126.27,56.2,0x0,2400027136
128.27,55.1,0x0,2400027136
130.28,55.65,0x0,2400027136
132.29,55.65,0x0,2400020480
134.3,55.65,0x0,2400030464
136.31,55.65,0x0,2400020480
138.32,55.65,0x0,2400033792
140.32,55.1,0x0,2400017408
142.32,55.65,0x0,2400020480
144.33,55.65,0x0,2400033792
146.34,56.2,0x0,2400020480
148.34,55.65,0x0,2400027136
150.35,56.2,0x0,2400027136
152.35,55.1,0x0,2400033792
154.36,56.2,0x0,2400030464
156.36,55.65,0x0,2400033792
158.37,55.65,0x0,2400023808
160.37,55.1,0x0,2400030464
162.38,54.55,0x0,2400023808
164.38,55.65,0x0,2400027136
166.38,55.65,0x0,2400023808
168.39,56.2,0x0,2400030464
170.39,56.2,0x0,2400033792
172.4,56.75,0x0,2400033792
174.4,55.65,0x0,2400033792
176.41,54.55,0x0,2400020480
178.41,56.75,0x0,2400023808
180.41,56.75,0x0,2400023808
