t_s,temp_c,throttled_hex,arm_hz
2.0,47.4,0x0,2400033792
4.02,51.8,0x0,2400033792
6.03,51.8,0x0,2400020480
8.05,52.35,0x0,2400033792
10.06,52.9,0x0,2400020480
12.07,54.0,0x0,2400017408
14.08,53.45,0x0,2400027136
16.1,54.0,0x0,2400030464
18.11,53.45,0x0,2400020480
20.12,55.1,0x0,2400027136
22.12,55.1,0x0,2400020480
24.13,54.0,0x0,2400037120
26.15,55.1,0x0,2400020480
28.17,55.1,0x0,2400030464
30.18,55.1,0x0,2400020480
32.19,55.1,0x0,2400017408
34.2,54.55,0x0,2400030464
36.2,54.55,0x0,2400033792
38.21,54.0,0x0,2400020480
40.21,56.2,0x0,2400030464
42.23,56.2,0x0,2400030464
44.24,55.1,0x0,2400030464
46.27,55.1,0x0,2400030464
48.29,54.55,0x0,2400027136
50.31,55.65,0x0,2400017408
52.32,55.65,0x0,2400033792
54.32,56.2,0x0,2400027136
56.33,55.65,0x0,2400033792
58.35,57.3,0x0,2400020480
60.37,56.75,0x0,2400027136
62.39,56.2,0x0,2400027136
64.41,56.75,0x0,2400027136
66.43,56.2,0x0,2400030464
68.44,55.65,0x0,2400027136
70.44,56.2,0x0,2400030464
72.44,56.75,0x0,2400033792
74.45,56.2,0x0,2400037120
76.48,57.3,0x0,2400027136
78.48,55.65,0x0,2400030464
80.5,56.75,0x0,2400020480
82.51,56.75,0x0,2400020480
84.52,57.3,0x0,2400033792
86.54,57.3,0x0,2400033792
88.56,56.2,0x0,2400023808
90.59,57.3,0x0,2400030464
92.59,56.75,0x0,2400027136
94.6,57.85,0x0,2400027136
96.61,57.85,0x0,2400030464
98.62,55.65,0x0,2400027136
100.63,57.85,0x0,2400030464
102.65,57.85,0x0,2400033792
104.65,57.3,0x0,2400020480
106.66,57.3,0x0,2400017408
108.68,57.3,0x0,2400020480
110.71,56.75,0x0,2400030464
112.71,57.85,0x0,2400023808
114.72,57.85,0x0,2400033792
116.73,57.3,0x0,2400030464
118.74,57.85,0x0,2400030464
120.77,57.3,0x0,2400030464
122.79,57.3,0x0,2400030464
124.79,57.85,0x0,2400033792
126.81,57.85,0x0,2400033792
128.83,58.4,0x0,2400030464
130.83,58.4,0x0,2400037120
132.85,56.75,0x0,2400033792
134.88,57.85,0x0,2400033792
136.88,56.75,0x0,2400030464
138.89,56.75,0x0,2400033792
140.9,57.3,0x0,2400020480
142.91,56.75,0x0,2400023808
