t_s,temp_c,throttled_hex,arm_hz
1.98,48.5,0x0,2400023808
3.99,51.8,0x0,2400020480
5.99,53.45,0x0,2400027136
8.01,52.35,0x0,2400020480
10.02,54.55,0x0,2400020480
12.04,54.55,0x0,2400033792
14.05,55.1,0x0,2400030464
16.06,55.1,0x0,2400020480
18.07,55.65,0x0,2400030464
20.07,55.1,0x0,2400030464
22.1,55.1,0x0,2400030464
24.12,55.65,0x0,2400020480
26.14,55.65,0x0,2400033792
28.15,55.65,0x0,2400027136
30.16,56.2,0x0,2400030464
32.17,55.65,0x0,2400037120
34.18,55.65,0x0,2400030464
36.18,55.65,0x0,2400033792
38.19,56.2,0x0,2400033792
40.21,55.65,0x0,2400027136
42.21,56.75,0x0,2400030464
44.24,56.2,0x0,2400033792
46.26,56.2,0x0,2400027136
48.27,56.75,0x0,2400027136
50.28,55.65,0x0,2400033792
52.3,55.65,0x0,2400027136
54.31,56.2,0x0,2400023808
56.33,56.2,0x0,2400033792
58.34,55.65,0x0,2400020480
60.36,56.75,0x0,2400030464
62.38,56.75,0x0,2400037120
64.4,56.2,0x0,2400033792
66.42,55.65,0x0,2400030464
68.43,56.2,0x0,2400027136
70.43,55.1,0x0,2400027136
72.44,56.75,0x0,2400017408
74.45,55.65,0x0,2400030464
76.47,55.65,0x0,2400037120
78.48,56.2,0x0,2400027136
80.5,55.65,0x0,2400020480
82.5,56.75,0x0,2400037120
84.5,56.75,0x0,2400030464
86.51,55.65,0x0,2400030464
88.52,56.75,0x0,2400020480
90.55,55.65,0x0,2400020480
92.55,55.65,0x0,2400020480
94.57,57.3,0x0,2400033792
96.58,56.75,0x0,2400030464
98.59,55.65,0x0,2400017408
100.59,55.65,0x0,2400037120
102.61,56.75,0x0,2400030464
104.63,56.2,0x0,2400027136
106.65,57.3,0x0,2400033792
108.65,56.2,0x0,2400030464
110.67,57.3,0x0,2400030464
112.69,56.75,0x0,2400030464
114.7,55.65,0x0,2400017408
116.7,56.75,0x0,2400017408
118.72,57.3,0x0,2400020480
120.74,56.75,0x0,2400033792
122.77,56.2,0x0,2400030464
124.78,56.2,0x0,2400030464
126.79,56.75,0x0,2400020480
128.81,56.75,0x0,2400030464
130.83,56.75,0x0,2400020480
132.84,56.2,0x0,2400033792
134.85,57.3,0x0,2400030464
136.86,56.75,0x0,2400023808
