t_s,temp_c,throttled_hex,arm_hz
2.0,45.75,0x0,2400030464
4.03,46.85,0x0,2400030464
6.04,45.2,0x0,1700017792
8.07,44.65,0x0,1700021120
10.07,45.75,0x0,1700011264
12.07,45.75,0x0,1700021120
14.07,45.75,0x0,1700017792
16.07,46.85,0x0,1700011264
18.1,45.75,0x0,1700017792
20.11,45.2,0x0,1700024448
22.14,45.2,0x0,1700017792
24.14,46.85,0x0,1700014464
26.14,45.2,0x0,1700014464
28.14,45.75,0x0,1700017792
30.14,46.3,0x0,1700021120
32.14,46.85,0x0,1700024448
34.17,47.4,0x0,1800025216
36.2,45.75,0x0,1700014464
38.24,46.85,0x0,1700017792
40.24,45.75,0x0,1700017792
42.27,46.85,0x0,1700024448
44.27,45.2,0x0,1700017792
46.3,46.3,0x0,1700021120
48.3,46.3,0x0,1700021120
50.34,47.4,0x0,1700014464
52.34,46.3,0x0,1700024448
54.37,46.85,0x0,1700017792
56.37,46.85,0x0,1700021120
58.37,45.75,0x0,1700024448
