t_s,temp_c,throttled_hex,arm_hz
1.99,46.85,0x0,2400020480
3.99,50.15,0x0,2400030464
5.99,51.25,0x0,2400027136
8.0,50.7,0x0,2400020480
10.0,51.8,0x0,2400020480
12.01,52.35,0x0,2400030464
14.02,54.0,0x0,2400023808
16.02,52.35,0x0,2400033792
18.03,52.35,0x0,2400020480
20.03,52.35,0x0,2400030464
22.03,52.35,0x0,2400017408
24.04,53.45,0x0,2400033792
26.04,52.9,0x0,2400027136
28.05,52.9,0x0,2400037120
30.05,52.9,0x0,2400027136
32.06,53.45,0x0,2400033792
34.06,52.9,0x0,2400017408
36.07,52.35,0x0,2400020480
38.07,54.0,0x0,2400033792
40.07,54.0,0x0,2400037120
42.07,54.0,0x0,2400027136
44.08,53.45,0x0,2400027136
46.08,55.1,0x0,2400030464
48.09,53.45,0x0,2400033792
50.09,54.0,0x0,2400027136
52.09,54.0,0x0,2400037120
54.1,54.0,0x0,2400020480
56.1,53.45,0x0,2400017408
58.11,54.55,0x0,2400027136
