arm,theta_max_deg,dh_m,wedge_deg,n_band,band_in_frame,band_centered,band_out_top,band_out_bottom,band_vert_med_deg,band_vert_min_deg,band_vert_max_deg,near_n,near_in_frame,near_out_bottom,loft_peak_descent_ms,loft_peak_av_ms2,heading_deg,dash_speed
flat,40,0,0,6,1.0,0.0,0.0,0.0,39.38,39.24,39.44,6,0.5,0.1667,-0.0,0.0,144.37,16.0
flat,40,0,10,6,1.0,0.0,0.0,0.0,29.38,29.24,29.44,6,0.5,0.3333,-0.0,0.0,144.37,16.0
flat,40,0,20,6,1.0,1.0,0.0,0.0,19.38,19.24,19.44,6,0.0,1.0,-0.0,0.0,144.37,16.0
flat,40,0,25,6,1.0,1.0,0.0,0.0,14.38,14.24,14.44,6,0.0,1.0,-0.0,0.0,144.37,16.0
flat,40,0,30,6,1.0,1.0,0.0,0.0,9.38,9.24,9.44,6,0.0,1.0,-0.0,0.0,144.37,16.0
loft,40,2,0,6,1.0,0.0,0.0,0.0,38.05,34.75,40.04,6,0.5,0.5,1.85,3.41,144.37,16.0
loft,40,2,10,6,1.0,0.1667,0.0,0.0,28.05,24.75,30.04,5,0.2,0.8,1.85,3.41,144.37,16.0
loft,40,2,20,6,1.0,1.0,0.0,0.0,18.05,14.75,20.04,5,0.2,0.8,1.85,3.41,144.37,16.0
loft,40,2,25,6,1.0,1.0,0.0,0.0,13.05,9.75,15.04,5,0.2,0.8,1.85,3.41,144.37,16.0
loft,40,2,30,6,1.0,1.0,0.0,0.0,8.05,4.75,10.04,5,0.2,0.8,1.85,3.41,144.37,16.0
loft,40,3,0,6,1.0,0.0,0.0,0.0,36.45,31.05,39.91,6,0.3333,0.6667,2.77,5.11,144.37,16.0
loft,40,3,10,6,1.0,0.5,0.0,0.0,26.45,21.05,29.91,5,0.2,0.8,2.77,5.11,144.37,16.0
loft,40,3,20,6,1.0,1.0,0.0,0.0,16.45,11.05,19.91,5,0.2,0.8,2.77,5.11,144.37,16.0
loft,40,3,25,6,1.0,1.0,0.0,0.0,11.45,6.05,14.91,5,0.2,0.8,2.77,5.11,144.37,16.0
loft,40,3,30,6,1.0,1.0,0.0,0.0,6.45,1.05,9.91,5,0.2,0.8,2.77,5.11,144.37,16.0
loft,40,4,0,6,1.0,0.0,0.0,0.0,36.43,28.75,41.57,5,0.2,0.8,3.7,6.82,144.37,16.0
loft,40,4,10,6,1.0,0.5,0.0,0.0,26.43,18.75,31.57,5,0.2,0.8,3.7,6.82,144.37,16.0
loft,40,4,20,6,1.0,1.0,0.0,0.0,16.43,8.75,21.57,5,0.2,0.8,3.7,6.82,144.37,16.0
loft,40,4,25,6,1.0,1.0,0.0,0.0,11.43,3.75,16.57,5,0.2,0.8,3.7,6.82,144.37,16.0
loft,40,4,30,6,1.0,1.0,0.0,0.0,6.43,-1.25,11.57,4,0.25,0.75,3.7,6.82,144.37,16.0
flat,30,0,0,7,1.0,0.0,0.0,0.0,29.1,28.9,29.22,7,0.4286,0.1429,-0.0,0.0,144.37,16.0
flat,30,0,10,7,1.0,1.0,0.0,0.0,19.1,18.9,19.22,7,0.4286,0.4286,-0.0,0.0,144.37,16.0
flat,30,0,20,7,1.0,1.0,0.0,0.0,9.1,8.9,9.22,6,0.1667,0.8333,-0.0,0.0,144.37,16.0
flat,30,0,25,7,1.0,1.0,0.0,0.0,4.1,3.9,4.22,6,0.1667,0.8333,-0.0,0.0,144.37,16.0
flat,30,0,30,7,1.0,1.0,0.0,0.0,-0.9,-1.1,-0.78,6,0.1667,0.8333,-0.0,0.0,144.37,16.0
loft,30,2,0,7,1.0,0.4286,0.0,0.0,25.75,22.99,28.54,7,0.4286,0.2857,1.85,3.41,144.37,16.0
loft,30,2,10,7,1.0,1.0,0.0,0.0,15.75,12.99,18.54,7,0.2857,0.7143,1.85,3.41,144.37,16.0
loft,30,2,20,7,1.0,1.0,0.0,0.0,5.75,2.99,8.54,6,0.1667,0.8333,1.85,3.41,144.37,16.0
loft,30,2,25,7,1.0,1.0,0.0,0.0,0.75,-2.01,3.54,6,0.1667,0.8333,1.85,3.41,144.37,16.0
loft,30,2,30,7,1.0,1.0,0.0,0.0,-4.25,-7.01,-1.46,6,0.1667,0.8333,1.85,3.41,144.37,16.0
loft,30,3,0,7,1.0,0.5714,0.0,0.0,24.63,20.19,29.48,7,0.4286,0.2857,2.77,5.11,144.37,16.0
loft,30,3,10,7,1.0,1.0,0.0,0.0,14.63,10.19,19.48,6,0.1667,0.8333,2.77,5.11,144.37,16.0
loft,30,3,20,7,1.0,1.0,0.0,0.0,4.63,0.19,9.48,6,0.1667,0.8333,2.77,5.11,144.37,16.0
loft,30,3,25,7,1.0,1.0,0.0,0.0,-0.37,-4.81,4.48,6,0.1667,0.8333,2.77,5.11,144.37,16.0
loft,30,3,30,7,1.0,1.0,0.0,0.0,-5.37,-9.81,-0.52,6,0.1667,0.8333,2.77,5.11,144.37,16.0
loft,30,4,0,6,1.0,0.6667,0.0,0.0,23.99,17.55,28.98,7,0.4286,0.4286,3.7,6.82,144.37,16.0
