stem,range_m,gt_bearing_deg,blur_px,angle_deg,nn_fired,nn_matched,nn_center_err_px,nn_dbearing_deg,nn_conf,csrt_ok,csrt_held,csrt_center_err_px
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,0,0.0,0,0,,,,1,1,1.58
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,2,0.0,0,0,,,,1,1,1.71
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,3,0.0,0,0,,,,1,1,2.2
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,4,0.0,0,0,,,,1,1,2.2
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,6,0.0,0,0,,,,1,1,3.15
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,8,0.0,0,0,,,,1,1,3.54
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,12,0.0,0,0,,,,1,1,2.86
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,0,0.0,1,0,112.41,0.004,0.313,1,1,0.22
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,2,0.0,0,0,,,,1,1,0.53
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,3,0.0,1,0,112.08,0.069,0.253,1,1,0.97
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,4,0.0,0,0,,,,1,1,0.79
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,6,0.0,0,0,,,,1,1,0.22
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,8,0.0,0,0,,,,1,1,0.22
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,12,0.0,0,0,,,,1,1,1.54
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,0,0.0,1,1,18.87,1.144,0.972,1,1,0.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,2,0.0,1,1,18.48,1.13,0.972,1,1,0.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,3,0.0,1,1,18.99,1.162,0.972,1,1,1.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,4,0.0,1,1,18.43,1.127,0.97,1,1,1.54
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,6,0.0,1,1,18.44,1.133,0.967,1,1,1.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,8,0.0,1,1,18.57,1.142,0.963,1,1,1.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,12,0.0,1,1,18.82,1.207,0.957,1,1,1.52
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,0,0.0,0,0,,,,1,1,1.46
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,2,0.0,0,0,,,,1,1,0.76
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,3,0.0,0,0,,,,1,1,2.11
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,4,0.0,0,0,,,,1,1,1.11
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,6,0.0,0,0,,,,1,1,2.67
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,8,0.0,0,0,,,,1,1,2.36
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,12,0.0,0,0,,,,1,1,3.29
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,0,0.0,1,0,123.57,9.805,0.285,1,1,0.68
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,2,0.0,1,0,123.25,9.767,0.27,1,1,1.6
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,3,0.0,0,0,,,,1,1,0.12
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,4,0.0,0,0,,,,1,1,2.06
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,6,0.0,0,0,,,,1,1,1.06
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,8,0.0,0,0,,,,1,1,1.38
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,12,0.0,0,0,,,,1,1,0.89
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,0,0.0,0,0,,,,1,1,0.12
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,2,0.0,0,0,,,,1,1,1.06
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,3,0.0,0,0,,,,1,1,1.11
