frame_idx,frame_path,t_mono_s,t_wall_unix,exposure_us,gain
0,frames/000000.png,73.993757,1785101429.042947,994.0,1.0000
1,frames/000001.png,74.032898,1785101429.082088,994.0,1.0000
2,frames/000002.png,74.064168,1785101429.113357,994.0,1.0000
3,frames/000003.png,74.095785,1785101429.144974,994.0,1.0000
4,frames/000004.png,74.128265,1785101429.177455,994.0,1.0000
5,frames/000005.png,74.160319,1785101429.209508,994.0,1.0000
6,frames/000006.png,74.193152,1785101429.242341,994.0,1.0000
7,frames/000007.png,74.227975,1785101429.277164,994.0,1.0000
8,frames/000008.png,74.260129,1785101429.309318,994.0,1.0000
9,frames/000009.png,74.293577,1785101429.342766,994.0,1.0000
10,frames/000010.png,74.326587,1785101429.375777,994.0,1.0000
11,frames/000011.png,74.359960,1785101429.409150,994.0,1.0000
12,frames/000012.png,74.393134,1785101429.442324,994.0,1.0000
13,frames/000013.png,74.427977,1785101429.477166,994.0,1.0000
14,frames/000014.png,74.460128,1785101429.509318,994.0,1.0000
15,frames/000015.png,74.493287,1785101429.542476,994.0,1.0000
16,frames/000016.png,74.526455,1785101429.575645,994.0,1.0000
17,frames/000017.png,74.559753,1785101429.608942,994.0,1.0000
18,frames/000018.png,74.593026,1785101429.642215,994.0,1.0000
19,frames/000019.png,74.627823,1785101429.677012,994.0,1.0000
20,frames/000020.png,74.659921,1785101429.709110,994.0,1.0000
21,frames/000021.png,74.693293,1785101429.742482,994.0,1.0000
22,frames/000022.png,74.726360,1785101429.775549,994.0,1.0000
23,frames/000023.png,74.759830,1785101429.809020,994.0,1.0000
24,frames/000024.png,74.793009,1785101429.842199,994.0,1.0000
25,frames/000025.png,74.827793,1785101429.876982,994.0,1.0000
26,frames/000026.png,74.859919,1785101429.909109,994.0,1.0000
27,frames/000027.png,74.893262,1785101429.942451,994.0,1.0000
28,frames/000028.png,74.926444,1785101429.975634,994.0,1.0000
29,frames/000029.png,74.959893,1785101430.009082,994.0,1.0000
